,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.87,1.03,0.84,0.67,0.5,0.51,0.61,0.44,0.43,0.49,0.36,0.39,0.33,0.37
f_1,1.19,1.0,0.95,0.93,0.82,0.69,0.46,0.49,0.44,0.38,0.4,0.35,0.34,0.29,0.34,0.23
d_1,1.14,1.07,1.0,0.92,0.88,0.76,0.52,0.39,0.41,0.54,0.44,0.38,0.33,0.35,0.26,0.29
c_1,0.97,1.08,1.09,1.0,1.22,0.61,0.5,0.45,0.34,0.4,0.36,0.38,0.37,0.37,0.34,0.31
b_1,1.16,1.22,1.14,0.82,1.0,1.19,0.53,0.52,0.45,0.54,0.47,0.46,0.4,0.41,0.34,0.34
a_1,1.49,1.48,1.33,1.62,0.83,1.0,0.88,0.68,0.64,0.58,0.64,0.56,0.5,0.55,0.47,0.47
h_1,2.03,2.22,1.88,2.03,1.9,1.09,1.0,1.04,0.84,0.88,0.83,0.71,0.67,0.72,0.68,0.6
g_1,2.05,2.05,2.52,2.1,1.84,1.43,0.97,1.0,0.81,0.93,0.84,1.0,0.72,0.69,0.61,0.74
d_0,1.65,2.29,2.58,2.98,2.08,1.54,1.23,1.22,1.0,0.79,0.93,0.98,0.81,0.85,0.74,0.76
c_0,2.19,2.76,1.85,2.6,1.78,1.66,1.15,1.15,1.24,1.0,1.34,1.0,0.93,0.93,0.66,0.73
b_0,2.27,2.47,2.24,2.78,2.15,1.65,1.2,1.19,1.04,0.74,1.0,1.02,1.17,0.9,0.8,0.8
f_0,2.04,2.86,2.66,2.53,2.18,1.78,1.42,0.99,1.06,1.0,1.02,1.0,0.92,1.0,0.59,1.15
a_0,2.72,2.91,3.15,2.75,2.6,1.79,1.46,1.4,1.23,1.02,0.93,1.1,1.0,0.94,0.94,0.89
h_0,2.65,3.45,2.8,2.69,2.37,1.74,1.38,1.46,1.19,1.09,1.09,0.96,1.05,1.0,0.98,0.84
g_0,3.05,3.02,3.95,2.89,2.91,2.08,1.45,1.64,1.34,1.43,1.28,1.61,1.1,1.06,1.0,0.96
e_0,2.75,4.28,3.31,3.3,2.86,2.25,1.64,1.36,1.3,1.39,1.24,0.92,1.1,1.08,1.0,1.0
