,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.32,0.68,0.67,0.93,0.78,0.77,1.48,2.94,1.56,1.5,1.62,1.69,2.18,1.34,1.83,2.26
f_1,1.15,2.4,0.71,0.79,0.82,0.7,1.34,1.48,1.31,1.49,1.79,0.64,1.89,1.47,1.77,1.9
d_1,0.77,0.78,2.55,0.64,0.76,0.65,1.56,0.9,1.32,2.76,1.95,1.98,2.11,2.02,1.6,1.6
c_1,0.63,0.74,0.86,2.58,1.22,0.87,1.6,1.13,1.49,0.63,1.64,1.85,2.05,1.4,1.78,2.23
b_1,0.82,0.71,0.76,0.63,2.7,1.4,1.46,1.74,1.55,1.24,0.7,2.02,2.69,1.59,1.42,2.15
a_1,0.7,0.92,0.89,0.71,0.53,3.33,1.49,1.91,1.3,2.36,1.89,1.59,2.25,1.96,,2.7
h_1,0.88,1.38,1.05,1.05,1.05,0.89,3.96,2.33,2.41,1.96,2.22,1.73,1.26,1.79,1.97,2.8
d_0,0.87,1.1,0.49,1.88,1.05,0.8,1.88,3.62,2.07,2.1,2.02,2.54,2.26,1.95,2.36,2.56
g_1,0.92,0.93,1.46,0.99,0.98,1.0,1.51,1.9,4.4,2.01,2.04,3.14,2.43,2.62,2.61,1.36
c_0,1.07,1.28,1.09,0.83,0.9,0.73,2.32,1.91,2.06,3.82,3.74,2.25,2.71,2.63,2.52,3.07
b_0,1.28,1.11,1.09,0.98,0.44,0.73,1.99,2.2,2.13,2.07,4.04,2.3,2.89,2.69,4.19,2.87
f_0,1.17,0.87,0.95,0.95,0.95,1.11,2.35,2.18,2.19,2.58,2.63,4.18,2.93,4.02,1.81,2.96
h_0,1.04,1.34,1.12,1.0,0.72,0.84,1.54,2.33,2.49,2.19,2.37,2.1,1.91,2.59,1.95,3.92
e_0,0.45,1.47,0.99,1.37,0.97,0.83,2.62,2.33,1.88,2.54,2.18,2.27,2.66,4.95,2.2,2.75
a_0,0.94,1.23,1.22,1.17,0.75,,2.28,2.09,2.46,2.01,2.1,2.05,2.94,3.05,5.03,3.02
g_0,0.78,0.99,1.44,1.27,1.04,0.7,1.92,2.06,,2.16,1.85,2.92,2.23,2.3,1.9,1.71
