,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.92,0.65,0.36,0.4,0.31,0.2,0.34,0.26,0.38,0.3,0.31,0.19,0.25,0.32,0.26,0.15
e_1,0.46,0.92,0.36,0.46,0.29,0.24,0.43,0.3,0.57,0.37,0.37,0.3,0.28,0.36,0.29,0.17
d_1,0.45,0.41,0.92,0.31,0.31,0.26,0.38,0.32,0.24,0.61,0.43,0.33,0.26,0.35,0.3,0.23
c_1,0.42,0.4,0.38,0.91,0.57,0.28,0.3,0.25,0.33,0.22,0.21,0.25,0.22,0.34,0.25,0.19
b_1,0.4,0.38,0.45,0.37,0.9,0.5,0.33,0.28,0.34,0.3,0.22,0.28,0.17,0.34,0.27,0.18
a_1,0.44,0.39,0.45,0.37,0.36,0.9,0.38,0.33,0.35,0.33,0.29,0.31,0.17,0.44,0.3,0.2
h_1,0.58,0.44,0.44,0.43,0.31,0.23,0.64,0.39,0.41,0.38,0.36,0.3,0.25,0.31,0.39,0.25
g_1,0.4,0.43,0.63,0.4,0.3,0.27,0.33,0.62,0.3,0.39,0.35,0.41,0.23,0.37,0.29,0.22
d_0,0.46,0.41,0.33,0.71,0.39,0.24,0.37,0.32,0.54,0.26,0.31,0.3,0.28,0.38,0.31,0.22
c_0,0.51,0.5,0.43,0.38,0.27,0.23,0.41,0.37,0.42,0.57,0.69,0.35,0.34,0.4,0.31,0.25
b_0,0.54,0.44,0.47,0.43,0.28,0.2,0.38,0.39,0.39,0.37,0.54,0.28,0.51,0.46,0.34,0.21
f_0,0.4,0.43,0.46,0.47,0.37,0.27,0.43,0.34,0.43,0.38,0.36,0.52,0.27,0.39,0.33,0.46
a_0,0.55,0.47,0.48,0.44,0.3,0.19,0.44,0.38,0.4,0.36,0.4,0.33,0.51,0.38,0.34,0.2
h_0,0.61,0.48,0.47,0.41,0.33,0.2,0.28,0.43,0.33,0.34,0.32,0.31,0.23,0.3,0.42,0.21
g_0,0.46,0.42,0.58,0.42,0.34,0.28,0.41,0.27,0.35,0.35,0.31,0.43,0.27,0.39,0.26,0.25
e_0,0.52,0.43,0.46,0.48,0.33,0.26,0.36,0.38,0.33,0.39,0.38,0.27,0.28,0.42,0.34,0.46
