,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.06,1.04,0.9,0.93,0.83,0.7,0.6,0.53,0.86,0.67,0.63,0.56,0.6,0.55,0.49
e_1,0.93,1.0,0.77,1.13,0.99,0.92,0.79,0.93,0.75,0.65,0.69,0.69,0.69,0.62,0.69,0.62
f_1,0.96,1.28,1.0,0.97,0.85,0.95,0.54,0.65,0.71,0.58,0.54,0.55,0.45,0.54,0.43,0.5
c_1,1.12,0.89,1.04,1.0,1.24,0.79,0.66,0.49,0.65,0.57,0.59,0.51,0.66,0.56,0.53,0.69
b_1,1.09,1.03,1.16,0.8,1.0,1.23,0.81,0.62,0.67,0.77,0.62,0.82,0.62,0.56,0.67,0.69
a_1,1.18,1.08,1.06,1.26,0.82,1.0,1.01,0.83,0.91,0.82,0.85,0.92,0.84,0.71,0.84,0.71
h_1,1.41,1.32,1.83,1.44,1.22,1.04,1.0,0.93,1.31,0.81,0.88,0.86,0.9,0.83,0.76,0.92
d_0,1.56,1.09,1.52,2.06,1.64,1.28,1.09,1.0,0.96,0.78,0.87,0.93,0.88,0.72,0.79,0.9
g_1,1.98,1.42,1.41,1.5,1.47,1.07,0.77,1.05,1.0,0.94,1.12,1.0,0.88,0.99,0.94,0.74
c_0,1.15,1.62,1.68,1.72,1.25,1.12,1.27,1.32,1.09,1.0,1.02,1.63,1.02,0.96,0.99,0.99
f_0,1.54,1.48,1.8,1.65,1.61,1.24,1.16,1.06,0.92,1.0,1.0,1.03,0.99,0.8,1.25,0.69
b_0,1.53,1.46,1.81,1.95,1.19,1.05,1.13,1.19,0.99,0.66,1.0,1.0,1.04,1.38,0.96,0.83
h_0,1.74,1.48,2.2,1.51,1.53,1.24,1.11,1.09,1.15,0.97,0.99,0.96,1.0,0.84,0.88,1.04
a_0,1.73,1.73,1.85,1.68,1.63,1.53,1.29,1.32,0.97,1.12,1.24,0.74,1.17,1.0,0.97,1.0
e_0,1.88,1.62,2.28,1.8,1.52,1.26,1.33,1.29,1.0,1.06,0.75,1.09,1.09,1.03,1.0,1.02
g_0,2.15,1.6,1.91,1.52,1.35,1.4,1.08,1.06,1.34,1.01,1.42,1.24,0.98,1.01,0.95,1.0
