,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.67,1.54,1.26,1.41,1.28,1.09,0.48,0.59,0.57,0.47,0.69,0.54,0.3,0.44,0.41,0.48
e_1,0.94,0.66,1.44,1.51,1.41,1.35,0.7,0.69,0.63,0.53,0.65,0.63,0.44,0.56,0.87,0.43
d_1,1.54,1.55,0.66,1.34,1.32,1.19,0.62,0.49,0.96,0.54,0.43,0.45,0.42,0.42,0.53,0.29
c_1,1.54,1.38,1.65,0.64,1.68,1.38,0.64,0.67,0.32,0.6,0.5,0.44,0.42,0.51,0.48,0.41
b_1,1.84,1.38,1.78,0.97,0.62,1.75,0.82,0.77,0.58,0.62,0.53,0.98,0.56,0.47,0.55,0.43
a_1,2.02,2.14,1.92,2.18,1.01,0.56,0.76,0.74,0.6,0.83,0.76,0.8,0.59,1.04,0.6,0.52
h_1,2.31,2.3,2.22,2.24,1.76,1.81,0.57,1.02,0.85,0.72,0.7,0.78,0.82,0.74,0.58,0.67
g_1,2.41,2.2,2.38,2.39,2.23,1.94,0.86,0.57,0.8,0.91,0.96,0.78,0.47,0.93,0.88,0.68
d_0,2.55,1.51,3.44,3.03,1.99,2.98,1.09,1.21,0.62,0.87,0.97,0.78,0.71,0.88,0.6,0.81
c_0,2.78,2.31,1.54,4.91,2.68,2.18,1.35,1.13,1.21,0.62,0.8,1.07,0.77,0.95,0.91,0.63
f_0,3.53,2.02,2.41,2.56,2.66,2.33,1.32,0.85,0.79,0.92,0.6,0.78,0.82,0.9,0.98,0.55
b_0,2.39,2.23,2.24,3.58,4.14,2.25,1.18,1.11,1.02,0.53,1.12,0.58,0.76,1.23,0.75,0.72
h_0,3.37,2.6,2.48,2.95,2.54,2.21,1.87,1.62,1.09,0.93,0.98,0.92,1.08,0.88,0.78,0.93
a_0,2.68,2.68,2.99,2.98,4.04,3.74,1.39,1.07,0.98,0.82,1.15,0.59,0.84,0.57,1.01,0.83
e_0,3.51,3.82,2.47,2.68,2.93,2.69,1.42,1.1,1.43,0.89,0.61,1.1,1.09,0.91,0.57,0.67
g_0,3.27,2.87,3.21,3.44,3.29,2.81,1.17,2.05,1.12,1.11,1.05,1.02,0.69,0.96,1.19,1.1
