,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,112.99,34.42,34.3,53.29,66.93,187.59,5741.39,6199.61,18870.48,10690.89,14210.1,22624.94,69504.02,56749.06,44861.73,149900.53
d_1,35.9,123.17,40.17,44.2,57.92,153.11,7003.49,5859.77,6098.72,17347.97,15200.26,19515.3,50226.08,60637.53,82096.06,122042.59
f_1,49.51,34.12,123.17,49.5,59.42,192.3,4358.58,5885.44,9452.2,10842.65,12709.88,12239.49,59952.6,70302.98,73411.29,139444.22
c_1,32.97,35.22,39.88,150.0,87.3,123.24,5024.04,5739.42,8659.68,4223.39,9643.53,14273.6,60663.47,59134.05,69338.71,102609.79
b_1,28.5,35.13,33.4,33.91,177.21,275.23,5567.73,6367.28,9744.41,10424.86,4482.43,15807.47,55419.26,35719.16,67334.91,107300.52
a_1,19.39,27.49,18.19,32.64,26.82,449.47,2971.3,4445.56,6661.37,7443.37,9067.18,14811.46,45474.36,14760.56,50394.41,98298.74
h_1,10.25,9.44,16.59,15.5,13.65,65.85,3505.04,2291.05,3338.98,3488.3,4584.55,6644.18,12568.67,16772.2,23625.09,47151.57
g_1,9.25,15.94,10.77,14.66,15.54,40.09,1617.89,3965.78,2551.53,3095.64,3859.07,8708.83,17809.57,16439.26,26209.66,17774.21
d_0,7.0,5.37,11.51,21.35,14.5,44.15,1387.82,1919.71,4681.77,2710.73,4016.37,5623.84,19214.44,15319.96,25113.24,31841.4
c_0,10.64,9.52,11.05,8.11,13.22,44.79,1396.48,1886.56,2623.54,4676.21,6098.93,6020.86,17197.96,17794.08,24933.4,30595.2
b_0,7.56,9.62,10.95,14.71,9.89,40.71,1218.27,1733.19,2503.2,2242.95,5799.79,5555.98,14380.56,21233.93,19705.32,30051.14
f_0,6.94,10.37,5.42,10.86,11.01,41.6,1334.29,1129.73,2460.47,2276.19,2912.63,7944.38,16167.2,12929.93,33654.28,26643.18
h_0,3.92,7.85,7.65,7.54,9.39,20.03,563.82,1132.13,1581.56,1526.16,1924.9,3042.89,6341.68,8549.17,12551.43,25689.25
a_0,4.75,4.74,5.29,8.86,11.48,14.87,931.36,1138.84,1597.16,1309.11,2420.12,3953.68,10449.85,17349.9,13559.88,20881.99
e_0,2.18,5.94,6.34,7.52,7.58,19.21,900.66,860.46,1623.4,1542.46,2193.82,2280.11,10592.06,9888.36,23395.39,22118.26
g_0,3.69,6.3,4.47,7.04,6.22,19.27,609.21,,1264.8,1515.97,1894.14,3564.54,7682.22,7533.64,7899.96,11163.1
