,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.68,0.89,0.63,0.69,0.55,0.81,1.43,0.88,0.75,0.94,0.96,0.83,0.98,0.6,0.93
f_1,1.17,1.53,0.75,0.57,0.66,0.58,0.75,0.97,0.88,0.72,0.84,0.51,0.72,0.84,0.51,0.79
c_1,0.7,0.74,1.55,0.8,1.12,0.5,0.91,0.7,0.52,0.85,0.74,0.78,0.69,0.82,0.74,0.78
d_1,0.72,0.99,0.63,1.57,0.69,0.55,0.91,0.62,1.38,0.77,0.84,0.82,0.76,0.89,0.64,0.71
b_1,0.77,0.74,0.68,0.78,1.59,1.07,0.98,0.99,0.89,0.72,0.57,0.82,0.67,0.87,0.62,0.94
a_1,0.81,0.89,0.87,0.92,0.61,1.76,0.99,0.82,0.93,0.84,0.9,1.07,0.72,1.17,0.95,0.95
h_1,0.95,1.19,0.84,1.14,0.86,0.82,1.74,1.07,1.15,1.33,1.13,0.98,0.92,1.02,1.03,1.47
d_0,0.86,0.99,1.75,0.74,0.92,0.8,1.05,1.63,0.98,1.02,1.22,1.02,1.03,1.36,1.04,1.03
c_0,1.01,1.06,0.9,0.95,0.88,0.89,1.17,1.32,1.63,1.15,2.0,1.21,1.18,1.35,1.19,1.24
g_1,0.95,0.96,0.98,1.45,0.93,0.71,1.08,1.05,1.23,1.84,1.17,1.55,0.95,1.21,1.04,0.9
b_0,1.0,1.06,1.06,1.19,0.75,0.9,1.23,1.16,1.02,1.27,1.69,1.02,1.93,1.19,1.08,1.2
f_0,0.84,0.86,1.11,1.14,1.01,0.75,1.31,1.4,1.34,0.97,1.57,1.77,1.15,1.26,1.93,1.09
a_0,1.14,1.17,1.28,1.0,1.06,0.46,1.35,1.47,1.32,1.35,1.1,1.22,1.78,1.42,1.02,1.39
h_0,1.03,1.34,1.19,1.15,0.89,0.88,0.9,1.25,1.12,1.39,1.41,1.21,1.01,1.13,1.05,1.43
e_0,0.69,1.18,1.38,1.27,1.25,0.89,1.17,1.4,1.1,1.21,1.3,1.05,1.2,1.68,1.83,1.29
g_0,1.01,0.96,1.11,1.66,0.95,0.87,1.17,1.27,1.39,0.99,1.34,1.53,1.06,1.4,1.09,1.04
