,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.0,1.33,1.49,1.62,2.54,15.15,26.92,30.33,38.12,46.28,45.52,72.42,99.56,98.51,92.21
d_1,1.0,1.0,1.03,1.15,1.48,2.38,16.51,22.59,34.97,38.03,45.59,46.88,66.59,95.97,86.22,92.29
e_1,0.75,0.96,1.0,1.52,1.53,2.39,15.83,29.41,28.64,45.25,45.27,50.48,76.54,81.39,97.25,98.82
c_1,0.66,0.87,0.67,1.0,1.63,1.91,11.8,19.9,18.63,17.68,24.25,31.87,50.11,58.96,70.9,75.71
b_1,0.62,0.65,0.66,0.63,1.0,2.43,10.67,16.78,18.18,20.25,30.22,30.05,45.0,51.17,58.16,64.45
a_1,0.4,0.42,0.42,0.52,0.41,1.0,6.68,11.8,10.6,12.88,22.04,17.08,29.23,38.05,38.05,35.59
h_1,0.07,0.06,0.06,0.09,0.09,0.15,1.0,1.79,1.8,1.97,2.54,2.73,4.33,5.34,6.51,5.8
g_1,0.04,0.04,0.03,0.05,0.06,0.08,0.55,1.0,1.1,1.07,1.66,2.04,2.56,3.24,3.36,4.4
c_0,0.03,0.03,0.03,0.06,0.05,0.09,0.57,0.92,1.0,1.29,2.13,1.69,2.55,3.76,3.02,3.65
d_0,0.03,0.03,0.02,0.06,0.05,0.08,0.51,0.93,0.73,1.0,1.25,1.36,2.08,2.54,2.89,3.25
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.4,0.56,0.48,0.78,1.0,1.09,1.71,3.08,2.15,2.23
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.37,0.48,0.59,0.73,0.87,1.0,1.61,1.8,1.74,3.17
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.23,0.4,0.39,0.47,0.61,0.61,1.0,1.23,1.6,1.35
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.3,0.27,0.38,0.35,0.54,0.82,1.0,0.98,1.28
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.29,0.32,0.36,0.43,0.58,0.62,1.02,1.0,1.11
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.23,0.27,0.3,0.47,0.32,0.7,0.86,0.88,1.0
