,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,105.57,77.32,66.83,73.79,81.31,282.39,5689.1,15978.47,17501.06,18718.29,16786.24,28580.44,67764.38,109217.87,73872.24,186533.71
e_1,43.07,105.74,53.21,90.6,112.41,365.54,6966.95,29520.61,16698.64,21133.97,33391.09,32380.87,93410.83,116021.41,56201.6,164841.54
d_1,46.4,54.47,133.65,53.26,70.9,335.53,5925.15,10745.61,12695.06,31157.61,28636.61,31285.61,73416.91,91319.64,97295.33,142618.18
c_1,43.29,34.37,57.92,146.44,137.49,282.54,5665.05,13991.31,13327.06,9574.46,25885.76,22699.86,75779.01,90238.28,87882.14,172519.65
b_1,45.83,31.73,59.92,48.37,186.04,443.91,5085.74,13421.1,12919.44,14653.42,28233.62,12996.25,66242.16,85192.64,78190.58,141497.6
a_1,30.86,24.52,33.47,40.95,44.55,530.41,3843.45,10492.25,8236.31,10594.62,15988.05,20362.71,44525.15,51230.57,46075.92,83560.03
h_1,16.55,12.15,18.6,20.26,24.82,80.95,2897.05,4241.84,5715.29,5462.36,7382.89,7283.37,22006.29,23659.98,20526.14,58599.71
d_0,10.42,7.69,9.19,26.56,19.57,48.83,1435.5,5031.17,3207.15,3399.9,5675.07,6595.61,17707.3,22491.96,18694.39,42220.41
g_1,7.84,9.34,19.84,12.33,18.31,68.65,1165.06,3162.03,6023.17,3363.21,7204.77,6644.6,16975.04,20781.63,19017.23,28816.11
c_0,11.51,9.0,10.97,10.78,16.78,64.18,1428.92,3425.45,3762.92,5792.7,6569.72,10266.19,23145.29,22490.81,19922.28,37008.61
f_0,7.05,7.2,12.31,14.64,15.27,56.7,1232.79,3190.56,2806.88,3497.11,7907.66,6051.08,17113.53,20132.5,30374.93,25623.75
b_0,9.53,7.87,12.05,14.01,14.62,33.21,1231.35,2779.6,2683.65,3008.1,5446.42,8174.45,29974.93,19955.6,15629.01,30184.56
a_0,6.5,5.74,9.43,8.92,12.85,17.36,892.61,2011.42,2102.29,2261.24,3963.75,2857.88,17354.89,13827.72,11684.0,21582.47
h_0,7.19,5.66,9.11,10.06,10.52,36.97,545.21,2032.52,2208.94,2323.68,3293.95,3530.77,9839.65,8704.37,11366.33,26661.84
e_0,5.87,4.25,7.96,9.77,12.63,48.49,826.73,1856.78,1958.44,2266.31,2975.71,3603.78,11402.05,13124.66,18893.93,19572.36
g_0,4.19,4.82,9.44,7.59,7.8,35.32,662.77,1574.06,1225.81,1849.61,4963.81,2918.38,8781.44,9780.64,10525.77,13250.83
