,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.33,0.41,0.5,0.35,0.2,0.42,0.61,0.29,0.34,0.34,0.3,0.34,0.26,0.19,0.3
d_1,0.4,0.93,0.45,0.31,0.32,0.2,0.37,0.31,0.31,0.6,0.39,0.34,0.38,0.26,0.25,0.33
f_1,0.63,0.36,0.91,0.37,0.33,0.24,0.33,0.39,0.26,0.32,0.31,0.2,0.35,0.25,0.15,0.28
c_1,0.4,0.37,0.41,0.91,0.58,0.26,0.36,0.37,0.29,0.2,0.21,0.3,0.31,0.23,0.2,0.28
b_1,0.42,0.41,0.42,0.37,0.9,0.47,0.36,0.34,0.3,0.33,0.22,0.26,0.33,0.16,0.2,0.29
a_1,0.41,0.44,0.48,0.41,0.29,0.89,0.38,0.37,0.34,0.35,0.31,0.29,0.37,0.17,0.2,0.3
h_1,0.45,0.46,0.59,0.38,0.34,0.21,0.66,0.34,0.38,0.35,0.34,0.29,0.27,0.28,0.22,0.37
d_0,0.45,0.33,0.42,0.7,0.42,0.23,0.42,0.56,0.32,0.25,0.33,0.27,0.35,0.27,0.23,0.3
g_1,0.39,0.62,0.37,0.4,0.34,0.25,0.36,0.32,0.66,0.38,0.32,0.52,0.32,0.25,0.27,0.28
c_0,0.45,0.48,0.49,0.33,0.28,0.24,0.4,0.45,0.31,0.59,0.61,0.35,0.44,0.32,0.25,0.34
b_0,0.49,0.43,0.47,0.46,0.28,0.19,0.46,0.43,0.37,0.4,0.55,0.38,0.43,0.49,0.24,0.31
f_0,0.41,0.5,0.34,0.42,0.4,0.26,0.43,0.46,0.38,0.43,0.36,0.57,0.37,0.31,0.5,0.38
h_0,0.44,0.5,0.5,0.44,0.31,0.24,0.32,0.37,0.39,0.37,0.31,0.32,0.3,0.25,0.22,0.41
a_0,0.5,0.5,0.44,0.48,0.38,0.16,0.42,0.44,0.39,0.35,0.32,0.31,0.42,0.44,0.25,0.3
e_0,0.4,0.52,0.45,0.38,0.36,0.23,0.45,0.48,0.34,0.39,0.43,0.33,0.46,0.3,0.47,0.37
g_0,0.4,0.63,0.41,0.39,0.32,0.21,0.4,0.37,0.25,0.45,0.39,0.45,0.36,0.27,0.28,0.3
