,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.49,1.38,1.24,1.28,1.16,0.5,0.41,0.57,0.5,0.73,0.46,0.34,0.41,0.43,0.28
f_1,1.19,0.65,1.41,1.41,1.14,1.25,0.48,0.65,0.46,0.44,0.53,0.48,0.34,0.43,0.41,0.41
e_1,1.45,0.86,0.65,1.51,1.34,1.09,0.69,0.66,0.52,0.49,0.57,0.59,0.44,0.54,0.82,0.46
c_1,1.64,1.45,1.1,0.64,1.71,1.12,0.59,0.65,0.61,0.43,0.29,0.46,0.4,0.48,0.4,0.38
b_1,1.42,1.62,1.4,0.81,0.62,2.1,0.71,0.67,0.62,0.71,0.51,0.46,0.45,0.5,0.48,0.38
a_1,1.66,1.51,1.82,1.81,0.84,0.58,0.89,0.78,0.59,0.77,0.75,0.62,0.61,1.03,0.65,0.48
h_1,2.12,2.1,1.91,2.07,1.84,1.61,0.57,0.96,0.73,0.68,0.63,0.74,0.61,0.66,0.69,0.6
g_1,2.2,2.39,2.16,1.99,2.16,1.82,0.75,0.55,0.8,0.69,0.73,0.81,0.5,0.71,0.64,0.69
c_0,1.33,2.71,2.3,3.25,2.04,2.08,1.02,0.84,0.6,1.0,0.91,0.86,0.69,0.87,0.78,0.66
b_0,1.88,2.36,2.31,3.0,2.72,1.69,1.0,1.09,0.51,0.61,0.89,0.78,0.67,0.75,0.71,0.61
d_0,2.86,2.16,1.35,2.69,2.91,1.92,1.27,1.22,0.79,0.77,0.61,0.81,0.69,0.79,0.92,0.73
f_0,2.23,3.55,2.32,2.26,2.36,2.38,1.11,0.74,0.79,0.84,0.81,0.58,0.69,0.73,1.08,0.48
h_0,2.42,3.01,2.33,2.78,2.4,1.87,1.61,1.1,0.82,0.84,0.89,0.83,0.91,0.77,0.8,0.84
a_0,2.57,2.61,2.48,2.78,2.62,2.43,1.15,1.17,0.82,0.65,0.88,1.12,0.8,0.57,0.79,0.88
e_0,2.32,3.36,3.53,2.84,2.63,2.12,1.11,1.08,0.96,0.91,0.87,0.5,0.7,0.94,0.56,0.72
g_0,2.69,3.11,2.8,3.01,2.68,2.64,0.92,1.6,1.02,1.09,1.01,1.04,0.67,0.79,0.89,0.94
