,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.07,2.05,2.94,3.54,3.41,2.84,1.43,1.27,1.42,0.78,1.07,1.02,0.81,0.89,2.62,0.87
f_1,3.67,1.07,3.33,3.66,3.16,2.96,0.93,1.26,0.81,0.88,1.36,0.89,0.55,0.82,0.75,0.7
d_1,5.48,3.49,1.07,3.19,3.1,2.66,1.4,0.98,1.99,1.16,0.99,0.97,0.89,0.99,0.69,0.46
c_1,3.15,3.5,3.91,1.07,4.81,3.6,1.39,1.11,0.71,1.76,0.89,0.9,0.93,1.11,0.99,0.81
b_1,3.55,5.05,3.76,2.31,1.07,4.14,1.2,1.23,1.19,1.39,0.9,2.15,0.86,0.8,1.03,0.85
a_1,5.87,5.1,5.25,5.21,2.84,1.07,2.06,1.96,1.51,1.48,1.51,1.91,1.08,3.01,1.44,1.05
h_1,5.93,8.88,6.84,7.11,8.94,5.55,1.38,2.87,2.19,1.75,1.87,2.33,2.47,1.91,1.69,1.91
g_1,8.34,9.68,8.26,9.85,7.95,6.22,2.62,1.39,1.97,2.57,2.37,2.43,1.29,1.86,1.82,2.25
d_0,4.96,11.75,15.12,10.43,8.18,8.7,3.81,4.35,1.62,2.52,2.53,2.35,1.91,2.42,2.2,2.39
c_0,9.33,9.96,5.75,29.58,9.1,8.46,4.63,3.42,3.25,1.72,3.83,2.76,2.19,2.87,2.23,2.28
f_0,9.41,23.24,10.23,9.87,8.62,8.61,4.46,2.58,3.48,2.47,1.62,2.83,2.1,2.43,3.24,1.46
b_0,8.94,10.9,8.97,11.97,20.98,7.55,3.41,4.52,3.02,1.73,3.71,1.6,2.41,3.2,2.8,2.28
h_0,10.93,14.26,10.39,11.74,11.43,9.98,8.48,7.06,3.91,3.7,3.8,2.82,5.29,3.21,2.57,2.92
a_0,12.12,14.92,11.68,11.83,16.59,,6.04,5.25,4.43,3.58,3.89,2.18,2.99,1.62,3.09,4.06
e_0,19.82,16.06,14.81,12.72,13.19,10.21,5.06,5.23,4.62,4.61,2.49,3.89,3.82,3.56,1.69,2.65
g_0,13.47,17.44,16.52,13.04,13.11,13.28,4.06,11.16,4.42,4.29,4.11,4.16,2.9,2.82,3.69,4.5
