,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.91,0.99,0.93,0.69,0.56,0.63,0.57,0.7,0.56,0.52,0.49,0.52,0.45,0.52
e_1,0.88,1.0,0.89,1.09,0.96,0.85,0.81,0.97,0.6,0.67,0.75,0.76,0.66,0.59,0.64,0.66
d_1,1.12,1.13,1.0,0.9,1.0,0.77,0.68,0.71,0.94,0.56,0.63,0.63,0.63,0.63,0.55,0.48
c_1,1.01,0.93,1.1,1.0,1.29,0.89,0.68,0.48,0.52,0.57,0.5,0.61,0.6,0.57,0.58,0.59
b_1,1.05,1.04,1.0,0.77,1.0,1.37,0.82,0.67,0.76,0.73,0.76,0.67,0.68,0.5,0.6,0.69
a_1,1.4,1.14,1.28,1.1,0.76,1.0,0.92,0.77,0.81,0.93,0.76,0.71,0.66,0.79,0.68,0.61
h_1,1.72,1.26,1.47,1.49,1.18,1.02,1.0,0.87,0.87,1.12,0.9,0.77,0.81,0.82,0.79,0.88
d_0,1.51,1.03,1.39,2.2,1.51,1.25,1.16,1.0,0.9,1.06,0.87,1.01,0.97,0.91,0.93,0.91
c_0,1.73,1.68,1.1,1.73,1.28,1.24,1.12,1.08,1.0,1.12,1.39,0.83,0.96,1.03,0.84,0.85
g_1,1.49,1.46,1.87,1.71,1.41,1.12,0.88,0.93,0.94,1.0,1.06,1.15,0.8,0.8,0.8,0.84
b_0,1.78,1.41,1.49,1.92,1.33,1.38,1.08,1.09,0.73,0.94,1.0,0.8,0.98,1.21,0.76,0.78
f_0,1.74,1.3,1.64,1.67,1.55,1.42,1.29,1.02,1.2,0.87,1.22,1.0,1.01,1.08,1.43,0.81
h_0,1.94,1.58,1.6,1.67,1.47,1.49,1.18,1.01,1.01,1.27,1.1,1.02,1.0,0.85,0.84,1.09
a_0,1.89,1.71,1.55,1.8,1.97,1.29,1.23,1.05,1.0,1.27,0.86,0.96,1.24,1.0,0.83,0.95
e_0,2.05,1.56,1.74,1.78,1.69,1.55,1.27,1.02,1.13,1.2,1.27,0.67,1.25,1.09,1.0,0.97
g_0,1.92,1.55,2.03,1.77,1.44,1.53,1.16,1.09,1.18,1.23,1.27,1.24,0.93,1.09,1.06,1.0
