,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.81,0.95,1.09,0.88,0.7,0.47,0.55,0.43,0.4,0.41,0.45,0.35,0.3,0.34,0.33
f_1,1.25,1.0,0.9,0.95,0.83,0.64,0.43,0.44,0.44,0.39,0.42,0.36,0.31,0.29,0.34,0.27
d_1,1.03,1.08,1.0,0.93,0.84,0.74,0.48,0.46,0.4,0.54,0.42,0.4,0.35,0.35,0.27,0.33
c_1,0.93,1.06,1.11,1.0,1.25,0.82,0.53,0.35,0.46,0.41,0.38,0.41,0.36,0.33,0.33,0.3
b_1,1.15,1.19,1.19,0.82,1.0,1.18,0.59,0.44,0.49,0.58,0.48,0.45,0.41,0.33,0.37,0.4
a_1,1.4,1.52,1.34,1.19,0.86,1.0,0.62,0.64,0.59,0.54,0.57,0.55,0.54,0.48,0.43,0.41
h_1,2.16,2.33,2.11,1.82,1.68,1.55,1.0,0.91,1.03,0.82,0.84,0.83,0.77,0.64,0.79,0.66
d_0,1.84,2.21,2.25,2.83,2.35,1.5,1.13,1.0,1.02,0.78,0.89,0.92,0.81,0.77,0.78,0.75
g_1,2.32,2.29,2.55,2.25,1.93,1.63,0.98,0.94,1.0,0.99,0.93,1.06,0.71,0.76,0.7,0.73
c_0,2.4,2.6,1.83,2.54,1.82,1.9,1.23,1.27,1.0,1.0,1.31,1.05,0.93,0.84,0.82,0.87
b_0,2.35,2.44,2.3,2.64,2.12,1.73,1.25,1.1,1.11,0.78,1.0,1.01,0.88,0.99,0.84,0.76
f_0,2.3,2.66,2.55,2.44,2.19,1.79,1.21,1.08,0.92,0.95,1.02,1.0,0.84,0.76,0.68,1.07
h_0,2.95,3.12,2.83,2.78,2.34,1.86,1.35,1.19,1.39,1.09,1.12,1.18,1.0,0.85,1.03,0.91
a_0,3.22,3.35,2.9,3.02,3.06,1.98,1.55,1.27,1.44,1.16,0.99,1.33,1.25,1.0,0.99,0.99
g_0,2.92,2.95,3.57,3.1,2.91,2.22,1.26,1.29,1.45,1.21,1.14,1.42,0.98,1.02,1.0,1.19
e_0,3.19,3.51,3.15,3.26,2.66,2.31,1.55,1.29,1.32,1.15,1.22,0.9,1.12,0.99,0.85,1.0
