,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,1.73,1.85,1.92,1.88,1.72,0.41,0.71,0.34,0.36,0.36,0.78,0.18,0.33,0.39,0.31
e_1,1.07,0.45,2.06,2.31,2.24,2.42,0.6,0.72,0.45,0.44,0.4,0.54,0.3,0.46,1.14,0.34
d_1,2.08,2.64,0.41,2.03,2.25,1.98,0.68,0.35,0.36,1.28,0.38,0.4,0.29,0.36,0.32,0.18
c_1,2.19,1.73,2.57,0.41,1.88,2.24,0.59,0.76,0.89,0.23,0.5,0.51,0.35,0.39,0.5,0.3
b_1,2.85,2.19,2.48,1.24,0.39,2.18,0.74,0.66,0.62,0.48,1.25,0.53,0.32,0.49,0.58,0.38
a_1,3.29,3.26,2.4,2.86,1.48,0.32,0.95,0.78,0.68,0.77,0.79,0.41,0.45,1.72,0.59,0.52
h_1,3.36,3.3,3.25,3.7,3.68,2.57,0.32,1.27,0.67,0.66,0.61,0.68,1.27,0.74,0.63,0.47
g_1,4.0,5.65,3.07,3.79,3.98,3.07,0.72,0.3,0.71,1.0,0.73,0.76,0.46,0.83,0.58,0.75
c_0,4.38,4.01,1.96,7.31,3.86,3.72,1.02,0.85,0.4,1.3,0.83,0.98,0.67,0.78,0.81,0.54
d_0,3.83,1.96,8.59,4.16,4.02,3.28,1.32,2.14,0.82,0.41,0.82,0.74,0.7,0.77,0.66,0.67
b_0,4.8,4.17,3.41,5.24,6.42,3.43,1.03,0.87,0.43,0.85,0.36,0.68,0.61,0.75,0.8,0.54
f_0,8.81,4.16,3.5,4.05,4.54,4.0,1.49,0.6,0.7,1.11,0.81,0.32,0.65,1.11,0.67,0.4
h_0,5.03,4.18,4.85,4.49,4.24,4.24,1.84,1.4,0.8,0.87,0.88,0.74,1.09,0.77,0.85,0.61
a_0,6.0,4.18,5.18,5.3,6.56,7.27,1.2,1.3,0.86,1.03,0.56,0.94,0.67,0.33,0.75,0.59
e_0,8.33,7.91,5.4,4.27,5.72,4.59,1.18,1.16,0.9,1.04,0.84,0.39,0.67,1.18,0.29,0.58
g_0,5.33,4.61,4.72,5.67,5.97,5.2,1.22,1.85,0.93,1.17,1.06,1.11,0.72,0.95,1.19,1.37
