,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.5,0.17,0.15,0.14,0.14,0.14,0.2,0.13,0.36,,0.19,0.18,0.17,0.2,0.2,0.22
f_1,0.16,1.5,0.28,0.18,0.18,0.16,0.19,0.17,0.17,0.17,0.18,,0.13,0.26,0.12,0.18
e_1,0.17,0.16,1.53,0.18,0.15,0.1,0.27,0.15,0.21,0.34,0.22,0.18,0.17,0.15,,0.16
c_1,0.18,0.14,0.16,1.54,0.25,0.1,0.23,0.14,,0.16,0.2,0.23,0.19,0.24,0.21,0.19
b_1,0.19,0.15,0.2,0.17,1.58,0.2,0.17,0.22,0.2,0.23,,0.21,0.14,0.21,0.17,0.2
a_1,0.2,0.2,0.17,0.21,0.15,1.76,0.2,0.2,0.3,0.18,0.17,0.19,,0.26,,0.2
h_1,0.41,0.49,0.24,0.33,0.34,0.34,1.62,0.59,0.51,0.43,0.45,0.42,0.46,,0.43,0.52
g_1,0.68,0.4,0.42,0.38,0.4,0.29,0.3,1.71,0.38,0.33,0.56,0.66,0.4,0.34,0.43,
c_0,0.38,0.57,0.43,,0.41,0.27,0.58,0.57,1.43,0.65,0.74,0.57,0.43,0.56,0.45,0.51
d_0,,0.53,0.41,0.8,0.36,0.4,0.54,0.53,0.44,1.44,0.46,0.51,0.39,0.65,0.49,0.64
b_0,0.47,0.49,0.27,0.4,,0.34,0.67,0.37,0.54,0.78,1.49,0.59,0.68,0.71,0.39,0.59
f_0,0.54,,0.5,0.38,0.47,0.38,0.55,0.42,0.59,0.56,0.57,1.47,0.48,0.62,0.68,0.61
a_0,0.44,0.57,0.53,0.47,0.55,,0.62,0.52,0.45,0.63,0.44,0.49,1.6,0.73,0.53,0.5
h_0,0.68,0.69,0.71,0.5,0.58,0.52,,1.08,0.58,0.65,0.59,0.53,0.59,,0.42,0.93
e_0,0.45,0.67,,0.44,0.38,,0.66,0.55,0.67,0.59,0.57,0.5,0.47,0.72,1.59,0.57
g_0,0.61,0.5,0.68,0.73,0.53,0.45,0.68,,0.79,0.6,0.7,0.85,0.7,0.8,0.62,
