,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.12,2.81,1.26,1.36,1.44,1.4,5.31,5.87,5.38,7.48,6.83,3.16,9.66,5.93,6.18,9.96
e_1,1.83,6.18,1.31,2.06,1.27,1.43,5.91,6.42,4.79,12.33,7.15,7.54,10.6,6.97,4.5,11.27
d_1,1.55,1.41,6.34,1.02,1.57,1.65,5.35,14.46,6.1,4.37,9.22,8.56,12.6,9.16,9.03,11.23
c_1,1.39,1.27,1.42,7.11,3.08,1.09,4.86,2.22,5.25,5.65,5.39,6.73,10.81,8.2,7.49,11.65
b_1,1.52,1.32,1.8,1.19,7.23,3.07,5.81,6.47,5.28,6.78,3.02,7.3,10.41,5.21,6.65,10.92
a_1,1.64,1.46,1.59,1.74,1.3,10.0,7.1,6.75,4.57,8.6,6.76,8.06,11.4,4.62,6.41,11.31
h_1,2.65,1.79,1.84,1.93,1.51,2.01,15.81,8.15,8.19,7.54,9.16,7.53,8.29,11.46,8.09,16.68
c_0,2.19,1.85,2.14,1.36,1.43,1.68,6.65,16.4,8.89,8.82,18.44,10.7,14.76,12.36,9.81,12.85
g_1,1.35,1.7,3.28,1.72,1.85,1.61,5.61,9.36,20.14,6.47,7.8,14.86,12.95,8.53,7.6,8.95
d_0,1.96,2.0,1.24,3.63,1.66,1.56,7.67,6.62,6.25,15.79,9.24,7.42,14.29,9.63,9.06,10.67
b_0,2.23,1.9,2.01,2.16,0.96,1.36,7.35,9.8,7.18,8.23,19.18,9.67,14.35,21.82,10.43,11.92
f_0,1.24,1.34,2.07,2.18,2.08,1.71,7.2,10.98,7.74,8.92,10.56,20.05,15.97,13.97,23.12,13.56
h_0,2.69,1.75,2.13,2.05,1.57,1.25,4.29,9.01,9.11,8.43,8.23,8.86,7.88,8.7,10.52,15.69
a_0,2.16,1.81,2.09,2.48,1.74,0.7,7.73,8.62,8.44,8.82,10.14,10.39,14.29,23.3,12.11,12.54
e_0,1.81,1.06,2.0,2.43,2.04,1.72,7.34,10.1,8.76,9.16,11.44,10.36,14.79,10.68,25.81,16.04
g_0,1.41,1.68,3.02,1.96,1.5,1.79,6.75,8.47,6.2,8.86,11.0,16.4,11.48,9.45,11.23,8.38
