,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,1.08,1.13,1.54,2.51,16.08,19.65,32.1,34.63,36.07,44.21,59.58,63.29,72.26,92.05
f_1,0.93,1.0,1.27,1.25,1.4,2.62,15.17,22.56,21.48,28.51,34.3,35.57,50.45,61.71,60.42,98.25
e_1,0.9,0.78,1.0,1.51,1.55,2.37,18.06,25.04,23.64,29.42,44.44,49.08,65.59,65.27,85.31,113.22
c_1,0.9,0.82,0.65,1.0,1.79,1.96,13.94,19.46,16.29,19.34,18.48,34.48,46.0,52.47,55.27,77.89
b_1,0.65,0.71,0.63,0.57,1.0,2.56,11.96,14.74,16.65,19.09,16.89,26.99,41.18,39.98,46.19,66.4
a_1,0.39,0.39,0.42,0.5,0.39,1.0,7.38,9.52,9.31,14.42,14.66,16.15,27.28,31.32,32.41,41.1
h_1,0.06,0.07,0.05,0.07,0.09,0.14,1.0,1.56,1.3,1.62,1.63,2.53,3.03,3.73,4.2,7.01
g_1,0.05,0.05,0.04,0.05,0.07,0.1,0.63,1.0,1.07,1.22,1.24,2.25,2.39,2.69,3.22,4.4
c_0,0.03,0.05,0.04,0.06,0.06,0.11,0.74,0.88,1.0,1.79,1.49,1.99,2.75,3.37,3.21,4.74
b_0,0.03,0.04,0.03,0.05,0.05,0.07,0.61,0.81,0.57,1.0,1.18,1.43,2.14,2.77,2.5,3.54
d_0,0.03,0.03,0.02,0.06,0.06,0.07,0.62,0.82,0.63,0.81,1.0,1.44,1.82,1.97,2.64,3.34
f_0,0.02,0.03,0.02,0.03,0.04,0.06,0.4,0.45,0.52,0.73,0.71,1.0,1.43,1.43,2.63,1.98
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.33,0.43,0.36,0.48,0.54,0.72,1.0,1.02,1.21,2.07
a_0,0.02,0.02,0.02,0.02,0.02,0.03,0.27,0.37,0.31,0.36,0.5,0.74,1.01,1.0,1.04,1.94
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.23,0.3,0.3,0.41,0.37,0.39,0.81,0.95,1.0,1.5
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.22,0.21,0.29,0.29,0.5,0.49,0.55,0.66,1.0
