,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,5.84,2.44,2.18,1.81,1.88,2.15,8.61,7.33,18.02,6.98,14.4,11.75,12.51,18.26,12.21,18.87
f_1,2.0,5.97,3.61,1.96,2.19,1.77,8.23,7.67,9.76,12.07,10.15,6.98,12.34,15.65,6.62,15.45
e_1,1.98,2.33,6.58,2.93,2.28,1.98,7.47,7.31,9.87,19.11,11.56,9.5,10.83,15.36,7.47,14.5
c_1,2.19,2.03,1.86,6.88,3.92,2.64,7.84,8.37,4.73,10.19,6.48,10.62,9.49,15.03,11.12,15.41
b_1,2.14,2.05,2.12,2.34,8.01,4.62,7.18,7.9,9.01,10.24,6.34,9.81,8.28,14.29,10.79,15.01
a_1,2.13,2.25,2.04,2.53,2.61,10.85,9.61,8.86,9.24,11.34,9.61,12.43,6.29,16.24,13.83,17.4
h_1,2.74,3.28,2.27,2.22,1.88,2.12,17.57,11.2,11.38,10.93,13.25,11.99,11.43,13.99,14.21,21.84
g_1,3.58,2.12,2.08,2.08,2.08,2.25,8.65,21.4,10.15,9.87,12.53,19.08,13.3,19.79,16.68,13.73
c_0,2.85,2.55,2.82,1.93,2.03,2.23,8.48,9.89,18.5,11.36,22.35,13.43,15.73,16.17,14.39,17.04
d_0,1.77,2.21,2.5,4.68,2.59,2.54,8.05,8.64,6.49,18.11,9.66,10.65,11.76,16.85,10.8,13.85
b_0,2.71,2.8,2.31,3.06,1.72,1.8,9.24,9.39,11.36,11.96,20.2,11.6,22.85,19.74,12.67,17.47
f_0,2.97,1.77,1.91,2.64,2.73,2.46,10.04,10.58,13.01,10.88,12.23,23.34,13.16,17.74,29.34,21.52
a_0,2.67,2.62,2.45,2.86,2.44,1.87,9.37,9.21,10.82,10.87,12.84,11.56,24.58,21.63,11.9,17.37
h_0,2.71,3.32,2.57,2.43,2.25,2.15,6.48,11.93,10.55,11.48,11.17,11.3,12.17,12.56,11.29,20.01
e_0,2.78,2.4,1.75,2.75,3.14,2.6,9.58,9.8,11.95,10.59,11.44,11.96,12.95,21.0,29.95,17.47
g_0,4.03,2.16,2.15,2.51,2.19,1.92,9.32,7.21,12.94,10.22,12.58,16.5,10.74,18.01,14.86,13.25
