,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.52,0.75,0.82,1.13,0.88,0.64,1.16,1.62,0.93,1.03,1.09,1.06,1.12,1.01,0.89,1.1
d_1,0.95,1.55,0.98,0.77,0.82,0.64,1.02,0.94,0.89,1.56,1.2,1.09,1.13,0.9,0.9,1.08
f_1,1.31,0.86,1.54,0.87,0.82,0.68,0.88,1.06,0.94,0.91,1.0,0.71,1.09,0.95,0.67,0.95
c_1,0.81,0.91,0.94,1.57,1.4,0.75,1.08,0.95,0.94,0.7,0.75,0.97,1.01,0.87,0.87,1.06
b_1,0.89,0.99,0.96,0.76,1.62,1.45,1.04,0.99,1.0,1.11,0.73,0.95,1.15,0.66,0.86,1.02
a_1,1.08,1.13,1.15,1.0,0.63,1.77,1.21,1.15,1.17,1.17,1.15,1.08,1.27,0.86,0.97,1.18
h_1,1.07,1.21,1.54,1.07,1.0,0.77,1.8,1.14,1.44,1.21,1.27,1.08,1.15,1.19,1.0,1.45
d_0,1.04,0.95,1.15,1.84,1.13,0.95,1.52,1.72,1.25,0.97,1.35,1.08,1.45,1.25,0.99,1.3
g_1,1.09,1.54,1.05,1.14,1.06,0.86,1.22,1.2,1.91,1.35,1.23,1.86,1.16,1.11,1.22,1.24
c_0,1.15,1.16,1.41,1.07,0.88,0.93,1.41,1.66,1.29,1.79,2.21,1.35,1.71,1.39,1.2,1.3
b_0,1.25,1.15,1.3,1.44,0.89,0.73,1.49,1.48,1.39,1.16,1.8,1.4,1.58,2.08,1.22,1.33
f_0,1.1,1.34,1.1,1.25,1.12,1.01,1.46,1.63,1.23,1.47,1.38,1.86,1.37,1.43,2.16,1.39
h_0,1.22,1.39,1.4,1.38,1.02,0.96,1.21,1.39,1.66,1.36,1.31,1.36,1.35,1.16,1.09,1.83
a_0,1.32,1.41,1.25,1.41,1.36,0.69,1.42,1.52,1.58,1.27,1.16,1.32,1.74,1.78,1.24,1.34
e_0,1.1,1.49,1.48,1.25,1.18,0.92,1.7,1.83,1.37,1.47,1.62,1.18,1.9,1.43,1.88,1.66
g_0,1.13,1.76,1.24,1.22,1.09,0.86,1.42,1.43,1.12,1.72,1.51,1.74,1.42,1.36,1.21,1.28
