,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.62,1.11,0.7,0.57,0.49,0.49,0.88,0.76,0.68,0.89,0.83,0.32,0.77,0.59,0.91,0.59
e_1,0.77,2.65,0.64,0.49,0.57,0.53,0.89,1.77,1.03,0.9,1.22,1.08,1.06,0.44,1.31,0.94
c_1,0.56,0.57,3.0,0.64,1.17,0.57,0.8,0.78,0.84,0.25,0.61,0.84,0.81,0.81,0.77,1.0
d_1,0.66,0.64,0.45,3.42,0.52,0.46,1.05,0.34,0.88,1.95,1.12,0.92,1.13,1.1,0.91,1.1
b_1,0.54,0.55,0.58,0.64,3.52,1.33,0.73,0.91,0.74,0.78,0.31,1.12,1.06,1.11,0.68,0.97
a_1,0.71,0.56,0.62,0.72,0.49,4.81,0.87,0.93,0.82,0.77,1.04,1.01,1.13,1.21,0.5,0.93
h_1,1.01,0.66,0.72,0.75,0.73,0.62,3.0,0.97,1.45,1.15,1.04,1.09,0.54,1.4,0.91,1.48
d_0,0.84,0.6,1.52,0.38,0.76,0.53,1.21,2.18,1.27,0.84,1.14,1.03,1.31,1.38,1.3,1.34
g_1,0.7,0.53,0.69,1.26,0.72,0.72,1.09,1.0,3.86,1.28,1.31,1.67,1.12,1.37,1.04,0.75
c_0,0.92,0.75,0.54,0.93,0.44,0.63,1.09,1.07,1.18,2.57,2.57,1.53,1.25,1.19,1.38,1.13
b_0,0.9,0.78,0.78,0.84,0.49,0.53,1.32,1.08,1.23,1.1,2.92,1.26,1.09,1.17,2.4,1.31
f_0,0.42,0.59,0.9,0.84,0.8,0.82,1.27,1.29,1.27,1.04,1.23,3.19,1.26,2.47,0.98,1.56
h_0,0.94,0.73,0.8,0.74,0.76,0.75,0.56,1.08,1.5,1.31,1.14,1.06,0.81,1.52,1.0,1.92
e_0,0.89,0.24,1.15,0.7,0.85,0.84,1.32,0.96,1.13,1.28,1.17,1.5,1.39,3.66,0.93,1.5
a_0,0.8,0.73,0.97,0.71,0.73,0.38,1.2,1.21,1.3,1.26,1.16,1.17,1.35,1.39,3.76,1.6
g_0,0.61,0.59,0.85,1.27,0.82,0.63,1.19,0.99,0.7,1.14,1.05,2.09,1.08,1.45,0.96,0.76
