,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.86,1.53,1.45,1.26,1.28,0.61,0.6,0.61,0.46,0.45,0.56,0.48,0.38,0.52,0.37
f_1,1.36,0.65,1.39,1.3,1.22,1.12,0.43,0.61,0.48,0.53,0.47,0.67,0.44,0.3,0.38,0.45
c_1,1.15,1.25,0.64,1.42,1.65,1.24,0.71,0.62,0.32,0.46,0.58,0.49,0.45,0.38,0.44,0.41
d_1,1.39,1.47,1.4,0.64,1.38,1.16,0.6,0.43,0.89,0.49,0.52,0.47,0.43,0.35,0.46,0.26
b_1,1.6,1.57,0.88,1.37,0.62,1.67,0.6,0.65,0.47,0.83,0.65,0.45,0.44,0.48,0.51,0.51
a_1,1.45,1.86,1.69,1.58,0.89,0.59,0.97,0.9,0.67,0.73,0.57,0.68,0.96,0.54,0.64,0.5
h_1,2.13,2.71,1.84,1.77,1.95,1.35,0.56,0.93,0.76,0.71,0.74,0.68,0.74,0.73,0.72,0.71
g_1,2.43,2.24,2.02,2.13,2.16,1.64,0.78,0.54,0.82,0.79,0.75,0.86,0.75,0.49,0.75,0.85
d_0,1.4,2.1,2.63,2.49,2.41,1.99,1.02,1.11,0.61,0.91,0.68,0.88,0.76,0.76,0.83,0.67
b_0,2.2,2.18,2.66,1.79,3.16,1.85,1.01,0.93,0.78,0.58,0.53,0.78,0.89,0.69,0.7,0.54
c_0,2.41,2.28,3.89,1.41,2.15,2.3,1.01,0.99,1.21,0.84,0.6,0.85,0.74,0.73,0.79,0.65
f_0,2.41,3.54,1.98,2.17,2.52,2.45,1.13,0.72,0.87,0.81,0.82,0.56,0.83,0.72,0.87,0.46
a_0,2.65,2.8,2.45,2.66,3.39,2.94,1.11,1.31,1.03,0.58,0.79,0.83,0.57,0.78,0.71,0.75
h_0,2.64,2.76,2.55,2.75,2.32,2.12,1.39,1.3,0.87,0.87,0.89,0.89,0.78,0.94,0.73,0.82
e_0,3.54,3.34,2.65,2.25,2.67,2.3,1.03,0.92,0.97,1.06,0.95,0.57,1.02,0.94,0.55,0.75
g_0,2.87,2.88,2.55,3.2,2.34,2.44,0.98,1.42,1.15,1.05,0.99,1.12,0.81,0.71,0.83,0.88
