,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.07,2.13,3.36,3.78,3.19,2.4,1.34,1.07,1.3,0.9,0.98,1.0,0.84,2.21,0.93,0.91
f_1,3.76,1.07,3.01,2.81,2.94,2.88,0.94,1.27,0.91,1.04,1.42,0.99,0.64,0.77,0.82,0.76
d_1,4.22,3.64,1.07,3.47,3.51,2.77,1.36,0.83,2.13,1.07,1.1,1.03,0.78,0.8,0.51,0.64
c_1,3.15,3.95,3.85,1.07,4.44,3.34,1.47,1.53,0.65,1.59,0.91,0.94,0.81,0.76,0.81,0.9
b_1,4.16,4.88,4.16,2.52,1.07,3.99,1.58,1.93,1.21,1.42,1.21,2.28,1.04,1.18,0.87,1.27
a_1,7.15,5.55,4.81,4.93,3.06,1.07,2.11,1.63,1.32,1.43,1.48,1.56,0.96,1.42,1.2,2.54
h_1,7.09,8.62,7.3,6.97,6.55,5.79,1.37,3.24,2.26,2.31,1.98,2.1,2.55,1.72,1.76,1.91
g_1,8.47,8.79,9.99,8.47,7.28,7.62,2.38,1.39,2.6,2.44,2.96,2.37,1.64,2.01,2.41,2.34
d_0,4.95,10.1,13.91,10.64,8.77,9.33,3.34,3.78,1.68,2.86,2.48,2.67,1.87,2.51,2.05,2.54
c_0,9.8,8.73,5.64,21.67,8.08,8.04,3.53,3.21,3.15,1.64,3.22,3.15,2.25,2.11,1.97,2.8
f_0,8.37,18.84,9.52,10.99,8.1,8.94,3.73,2.36,2.82,2.51,1.61,2.7,2.16,2.77,1.58,2.31
b_0,8.38,9.46,8.92,11.38,18.62,9.93,3.77,3.34,3.12,1.85,2.64,1.59,2.46,3.12,2.34,2.83
h_0,10.86,12.68,11.38,11.05,11.15,10.87,8.2,5.59,4.19,3.48,3.84,3.56,4.35,3.05,2.82,3.24
e_0,18.76,17.47,13.86,13.91,9.87,12.56,4.83,5.03,3.6,3.07,2.11,3.13,3.15,1.64,2.13,3.46
g_0,11.99,15.13,14.87,12.93,13.56,11.58,4.66,7.72,4.12,3.91,3.9,3.61,2.48,4.22,3.95,3.35
a_0,12.85,15.84,18.54,13.84,11.81,21.42,5.04,4.8,4.34,3.56,3.61,2.27,3.02,4.18,3.52,1.68
