,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.3,0.91,0.89,0.77,0.57,0.41,0.45,0.37,0.36,0.37,0.4,0.29,0.22,0.31,0.35
e_1,0.77,1.0,1.04,1.06,0.86,0.8,0.54,0.52,0.39,0.6,0.51,0.41,0.34,0.42,0.37,0.33
d_1,1.1,0.97,1.0,0.87,0.91,0.71,0.5,0.34,0.6,0.35,0.39,0.42,0.33,0.34,0.28,0.25
c_1,1.13,0.94,1.15,1.0,1.48,0.73,0.51,0.52,0.4,0.32,0.4,0.39,0.35,0.37,0.33,0.31
b_1,1.3,1.15,1.1,0.68,1.0,1.08,0.55,0.52,0.47,0.48,0.45,0.42,0.46,0.38,0.33,0.33
a_1,1.75,1.23,1.44,1.37,0.92,1.0,0.79,0.67,0.7,0.61,0.57,0.67,0.56,0.54,0.6,0.45
h_1,2.43,1.89,2.02,1.95,1.77,1.22,1.0,1.0,0.82,0.74,0.87,0.76,0.69,0.55,0.67,0.8
g_1,2.09,1.99,2.83,1.97,2.07,1.59,1.02,1.0,0.79,0.82,1.15,0.88,0.64,0.7,0.71,0.65
c_0,2.55,2.71,1.67,2.46,1.83,1.39,1.22,1.25,1.0,1.27,0.95,1.43,0.81,0.84,0.88,0.72
d_0,2.61,1.72,2.6,3.2,2.18,1.58,1.35,1.23,0.76,1.0,0.85,0.91,0.83,0.95,0.87,0.79
f_0,2.76,1.91,2.58,2.7,2.24,1.76,1.18,0.84,1.04,1.15,1.0,0.99,0.94,1.56,0.84,0.61
b_0,2.53,2.26,2.28,2.77,2.34,1.58,1.37,1.17,0.72,1.1,0.98,1.0,0.97,0.86,1.17,0.76
h_0,3.41,3.06,2.93,3.03,2.19,1.84,1.43,1.55,1.24,1.18,1.06,1.05,1.0,0.81,0.97,0.92
e_0,4.54,2.44,2.79,2.85,2.79,1.88,1.87,1.43,1.17,1.1,0.67,1.21,1.23,1.0,0.98,0.85
a_0,3.39,2.67,3.21,3.16,3.1,1.79,1.51,1.47,1.22,1.2,1.15,0.87,1.1,1.02,1.0,1.02
g_0,3.16,2.99,3.89,3.31,2.99,2.29,1.22,1.46,1.38,1.23,1.58,1.43,1.11,1.15,0.94,1.0
