,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.36,0.79,0.8,0.7,0.68,0.21,0.22,0.16,0.13,0.13,0.18,0.15,0.1,0.2,0.09
f_1,0.55,0.16,0.68,0.67,0.63,0.61,0.13,0.2,0.13,0.15,0.13,0.3,0.13,0.06,0.11,0.12
c_1,0.56,0.6,0.15,0.74,0.72,0.66,0.23,0.2,0.08,0.13,0.24,0.13,0.13,0.09,0.13,0.1
d_1,0.72,0.73,0.72,0.15,0.69,0.57,0.17,0.11,0.35,0.12,0.12,0.13,0.12,0.09,0.12,0.06
b_1,0.79,0.76,0.36,0.65,0.13,0.7,0.17,0.21,0.13,0.35,0.19,0.12,0.13,0.11,0.15,0.13
a_1,0.6,0.82,0.74,0.65,0.33,0.1,0.26,0.26,0.17,0.19,0.14,0.18,0.34,0.12,0.17,0.11
h_1,0.59,0.69,0.51,0.45,0.51,0.37,0.06,0.14,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.09
g_1,0.65,0.58,0.49,0.45,0.57,0.45,0.11,0.05,0.12,0.11,0.11,0.11,0.12,0.06,0.1,0.13
d_0,0.3,0.49,0.55,0.78,0.6,0.52,0.16,0.19,0.06,0.13,0.1,0.13,0.11,0.09,0.12,0.09
b_0,0.52,0.52,0.68,0.38,1.14,0.48,0.15,0.14,0.11,0.06,0.06,0.1,0.1,0.08,0.09,0.06
c_0,0.56,0.52,1.28,0.28,0.58,0.58,0.15,0.15,0.18,0.09,0.06,0.11,0.1,0.09,0.11,0.08
f_0,0.57,1.05,0.4,0.47,0.55,0.63,0.16,0.09,0.11,0.1,0.1,0.05,0.1,0.08,0.09,0.05
a_0,0.55,0.57,0.5,0.52,0.75,0.81,0.14,0.18,0.12,0.05,0.08,0.1,0.04,0.07,0.08,0.07
h_0,0.53,0.5,0.51,0.55,0.49,0.45,0.22,0.16,0.1,0.1,0.1,0.1,0.08,0.11,0.09,0.08
e_0,0.83,0.66,0.5,0.42,0.56,0.51,0.12,0.11,0.11,0.12,0.1,0.05,0.11,0.09,0.04,0.07
g_0,0.54,0.6,0.48,0.54,0.45,0.51,0.11,0.22,0.13,0.11,0.11,0.11,0.08,0.06,0.09,0.09
