,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.12,2.36,4.26,4.6,4.6,4.53,1.44,1.36,1.07,0.85,0.91,1.16,0.63,0.92,0.77,1.8
f_1,3.86,1.12,3.79,4.8,3.72,4.51,0.83,1.42,0.92,0.77,0.8,1.92,0.43,0.84,0.56,0.81
d_1,5.27,5.28,1.11,5.12,4.41,4.09,1.44,0.89,2.44,1.03,0.91,1.01,0.65,0.91,0.46,0.94
c_1,3.97,5.45,5.71,1.12,5.72,4.89,1.38,1.38,0.53,1.7,0.9,0.82,0.69,0.86,0.77,0.92
b_1,6.42,6.47,6.87,2.95,1.13,5.92,1.8,1.87,1.15,1.67,3.4,1.28,0.92,1.48,1.1,1.07
a_1,9.96,8.92,7.93,11.19,4.37,1.14,3.43,2.67,2.18,1.99,2.8,1.79,1.38,4.27,1.37,1.64
h_1,14.13,16.52,14.2,14.92,15.47,14.26,1.71,3.86,3.1,3.02,2.6,3.02,3.55,3.04,2.37,2.68
g_1,19.46,18.5,17.86,16.7,19.47,19.31,3.81,1.72,4.51,3.62,3.38,3.29,2.13,3.45,3.59,3.33
d_0,10.31,20.22,28.27,18.31,22.37,17.66,5.19,6.89,2.25,3.72,3.79,3.73,3.2,3.62,3.8,2.98
c_0,18.79,23.72,11.69,35.81,19.06,15.98,6.22,7.55,5.03,2.19,4.49,4.03,3.35,4.13,3.24,3.76
b_0,20.73,21.02,18.68,41.86,43.66,22.61,5.76,6.12,4.57,2.23,2.19,4.09,3.08,4.09,2.4,3.72
f_0,21.79,48.68,21.25,19.65,21.15,18.36,7.29,3.92,5.69,5.33,4.72,2.1,3.27,5.0,2.27,4.1
h_0,31.78,29.13,26.43,32.23,29.75,23.47,11.92,8.66,5.64,5.42,6.4,5.11,8.27,5.21,4.23,5.1
a_0,30.03,32.74,30.1,34.66,42.3,63.93,8.81,9.22,6.87,6.6,3.32,7.08,5.28,2.41,4.45,5.02
g_0,34.67,46.25,34.22,41.86,44.38,29.43,7.91,13.4,8.67,6.53,6.55,6.73,3.4,6.91,6.19,5.96
e_0,53.72,56.92,36.12,35.81,41.02,34.98,12.26,9.22,7.71,6.6,8.57,3.78,6.3,9.27,4.34,2.61
