,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.21,0.86,0.93,0.88,0.82,0.59,0.75,0.54,0.6,0.6,0.52,0.56,0.5,0.41,0.52
e_1,0.82,1.0,1.01,1.17,0.9,0.86,0.72,0.77,0.65,0.92,0.7,0.68,0.6,0.62,0.67,0.59
d_1,1.17,1.0,1.0,1.06,0.83,0.78,0.7,0.55,0.84,0.63,0.64,0.57,0.55,0.54,0.57,0.46
c_1,1.07,0.86,0.94,1.0,1.49,0.77,0.74,0.67,0.65,0.46,0.58,0.63,0.57,0.62,0.55,0.66
b_1,1.12,1.09,1.21,0.67,1.0,1.21,0.89,0.76,0.78,0.7,0.69,0.71,0.61,0.63,0.64,0.54
a_1,1.24,1.18,1.29,1.31,0.82,1.0,0.89,0.71,0.72,0.75,0.86,0.73,1.04,0.76,0.82,0.78
h_1,1.66,1.39,1.39,1.36,1.19,1.13,1.0,1.06,0.84,0.89,0.88,0.89,0.8,1.02,0.7,0.94
g_1,1.37,1.33,1.83,1.44,1.3,1.37,0.94,1.0,1.08,0.97,0.94,1.14,0.8,0.79,1.01,0.82
c_0,1.79,1.5,1.16,1.52,1.3,1.34,1.19,0.92,1.0,1.19,1.39,1.0,0.98,0.94,0.9,0.9
d_0,1.52,1.08,1.7,2.18,1.43,1.44,1.13,1.07,0.81,1.0,0.88,1.04,0.93,0.9,0.93,0.83
b_0,1.57,1.47,1.51,1.77,1.46,1.22,1.17,1.09,0.72,1.15,1.0,0.99,1.3,1.15,1.07,0.93
f_0,1.96,1.49,1.78,1.57,1.37,1.34,1.18,0.86,0.97,0.92,1.02,1.0,0.9,0.99,1.24,0.72
a_0,1.77,1.72,1.76,1.87,1.63,1.02,1.25,1.21,1.05,1.14,0.72,1.07,1.0,1.21,1.16,0.9
h_0,1.93,1.56,1.83,1.7,1.57,1.36,0.96,1.27,1.09,1.09,0.87,0.99,0.83,1.0,0.82,1.09
e_0,2.38,1.69,1.77,1.77,1.65,1.11,1.36,0.93,1.15,1.07,1.04,0.83,0.92,1.19,1.0,0.95
g_0,1.88,1.66,2.15,1.66,1.95,1.33,1.07,1.16,1.19,1.17,1.07,1.38,1.08,0.93,1.05,1.0
