,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.22,0.61,1.65,0.67,0.6,0.65,0.75,0.82,0.83,1.05,0.9,0.58,0.91,0.85,0.63,0.72
d_1,0.77,11.82,0.62,0.54,0.66,0.65,1.07,0.97,2.71,0.5,1.52,1.08,0.91,1.09,1.1,1.02
e_1,0.77,0.53,10.88,0.95,0.68,0.64,1.02,0.93,0.82,2.52,0.97,0.92,0.99,1.05,0.75,1.03
c_1,0.57,0.65,0.61,12.07,1.77,0.77,0.82,0.82,0.51,0.92,0.67,1.02,0.96,0.95,1.01,0.98
b_1,0.64,0.87,0.59,0.73,12.22,1.82,0.91,0.83,0.82,0.9,0.57,0.96,1.02,0.7,0.98,0.97
a_1,0.86,0.94,0.63,0.77,0.66,17.79,0.92,1.08,0.85,0.7,1.06,0.99,1.29,0.6,1.11,1.01
h_1,1.23,0.95,0.64,0.83,0.66,0.57,3.25,1.58,0.97,0.86,0.87,1.16,0.81,0.93,1.08,1.49
g_1,0.66,1.84,0.63,0.83,0.75,0.58,1.19,3.86,0.98,0.73,1.06,1.81,0.99,1.36,1.21,0.95
c_0,1.01,0.91,0.81,0.56,0.53,0.84,1.39,1.1,2.25,0.88,3.12,1.04,1.26,1.52,1.17,1.2
d_0,0.79,0.47,0.7,2.58,0.91,0.64,0.93,1.01,0.47,2.14,0.79,1.17,0.96,1.12,1.08,0.93
b_0,0.87,0.81,0.86,0.82,0.57,0.68,1.19,1.25,1.19,1.11,2.23,1.26,1.16,3.14,1.13,1.26
f_0,0.59,0.98,0.58,1.0,0.75,0.71,1.4,1.16,1.09,0.79,1.16,2.91,1.39,1.1,2.81,1.43
h_0,1.29,0.88,0.8,0.81,0.77,0.71,0.78,1.53,0.82,0.88,1.03,0.97,0.79,1.11,1.07,1.59
a_0,0.91,0.82,0.75,0.75,0.7,0.58,1.32,1.13,1.11,0.9,1.06,1.16,1.52,2.87,1.22,1.32
e_0,0.82,0.86,0.43,0.95,0.8,0.81,1.26,1.09,1.12,0.94,1.03,1.18,1.08,0.97,3.28,1.27
g_0,0.78,1.77,0.48,0.62,0.81,0.74,1.09,0.81,1.2,0.58,1.11,2.04,0.98,1.14,1.4,0.81
