,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.79,0.94,1.22,1.03,0.94,1.05,1.03,0.92,1.35,1.13,1.1,1.06,1.12,1.21,1.09
f_1,1.25,1.0,0.91,0.96,0.94,0.9,0.81,1.03,0.98,1.0,0.96,1.0,0.88,0.8,1.01,0.91
d_1,1.07,1.08,1.0,0.99,0.92,0.88,1.05,0.8,1.21,1.01,1.03,1.02,1.02,1.01,0.85,0.92
c_1,0.8,1.06,1.03,1.0,1.42,1.02,1.0,1.01,0.86,0.71,0.87,0.82,1.03,0.88,0.96,1.0
b_1,0.96,1.05,1.08,0.71,1.0,1.4,1.17,1.17,1.12,0.94,0.97,0.91,1.05,1.15,1.03,0.92
a_1,1.07,1.1,1.14,0.97,0.72,1.0,1.08,1.07,1.02,1.01,1.06,1.13,1.08,0.94,1.02,1.04
h_1,0.99,1.16,0.97,0.97,0.84,0.93,1.0,1.21,1.01,1.0,0.93,0.97,1.07,1.0,1.06,0.88
g_1,0.98,0.97,1.19,1.0,0.85,0.93,0.86,1.0,1.0,0.97,1.23,0.98,0.79,0.99,1.09,1.04
c_0,1.05,1.03,0.84,1.16,0.88,0.98,1.02,1.01,1.0,1.27,1.05,1.4,1.01,1.05,0.95,1.32
d_0,0.77,1.04,0.98,1.39,1.11,1.0,1.0,0.99,0.77,1.0,1.0,0.97,0.97,1.14,1.11,1.01
f_0,0.85,1.1,0.96,1.12,1.05,0.95,1.09,0.79,0.92,1.01,1.0,1.05,1.01,1.45,0.84,0.96
b_0,0.94,0.98,0.97,1.27,1.09,0.88,1.0,1.04,0.73,1.1,0.99,1.0,1.04,1.09,0.97,1.51
h_0,0.94,1.11,0.99,1.0,0.97,0.89,0.96,1.24,0.98,0.99,0.95,0.97,1.0,0.93,1.19,1.0
e_0,0.89,1.32,0.94,1.1,0.87,1.02,1.01,1.04,0.87,0.87,0.72,0.94,1.08,1.0,0.85,0.95
g_0,0.85,1.01,1.18,1.04,1.01,0.96,0.96,0.95,1.02,0.9,1.18,0.98,0.83,1.13,1.0,0.99
a_0,0.92,1.02,1.09,1.03,1.12,1.01,1.1,0.98,0.76,1.05,1.07,0.68,0.97,1.12,1.01,1.0
