,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.29,0.53,1.08,0.53,0.48,0.26,1.07,1.16,0.85,1.01,1.21,0.46,1.24,0.77,0.51,1.13
d_1,0.7,2.38,0.51,0.43,0.5,0.45,1.06,0.59,1.02,2.21,1.2,1.12,1.59,1.22,1.08,1.28
e_1,0.62,0.53,2.35,0.69,0.46,0.46,0.99,2.2,0.86,1.08,1.26,1.22,1.48,0.89,0.59,1.22
c_1,0.58,0.57,0.5,2.46,0.92,0.47,0.82,1.21,0.88,0.46,0.95,1.0,1.44,0.94,0.75,1.28
b_1,0.49,0.68,0.54,0.49,2.58,0.89,1.04,1.03,0.82,1.02,0.46,1.01,1.58,0.62,0.84,1.41
a_1,0.69,0.63,0.56,0.5,0.59,2.99,0.99,1.17,0.94,1.14,1.0,1.13,1.54,0.54,1.19,1.14
h_1,0.94,0.67,0.69,0.83,0.51,0.52,3.13,1.27,1.6,1.29,1.48,1.32,1.11,1.04,1.13,2.12
d_0,0.71,0.44,0.58,1.43,0.61,0.51,1.31,2.61,0.98,0.98,1.71,1.52,1.59,1.22,1.2,1.47
g_1,0.68,1.07,0.56,0.75,0.59,0.44,1.3,1.27,3.37,1.35,1.45,2.04,1.83,1.37,1.33,1.22
c_0,0.8,0.64,0.78,0.48,0.45,0.6,1.35,1.65,1.17,2.8,3.18,1.59,1.9,1.26,1.28,1.83
b_0,0.76,0.72,0.7,0.83,0.35,0.47,1.44,1.58,1.31,1.32,2.95,1.39,2.29,2.63,1.56,1.79
f_0,0.53,0.74,0.52,0.79,0.72,0.64,1.24,1.58,1.21,1.69,1.4,2.98,1.73,1.26,2.64,1.67
h_0,1.13,0.69,0.65,0.7,0.54,0.45,0.94,1.49,1.62,1.23,1.23,1.33,1.17,1.14,1.22,2.03
a_0,0.67,0.75,0.66,0.72,0.67,0.34,1.68,1.67,1.05,1.74,1.51,1.75,2.41,3.22,1.29,2.1
e_0,0.89,0.7,0.38,0.83,0.56,0.6,1.54,1.5,1.47,1.6,1.62,1.33,2.37,1.66,3.37,1.54
g_0,0.66,1.01,0.54,0.72,0.6,0.62,1.06,1.31,0.72,1.46,1.48,2.13,1.47,1.31,1.49,1.09
