,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.8,0.66,0.47,0.48,0.61,0.74,0.81,0.87,0.46,1.77,1.14,1.1,1.08,1.02,1.03,1.13
f_1,0.57,2.84,1.11,0.62,0.5,0.43,0.89,0.85,0.86,0.82,0.82,0.35,0.95,0.87,1.03,0.52
e_1,0.56,0.65,2.86,0.68,0.65,0.58,0.93,0.72,1.63,0.95,0.99,0.91,0.89,0.96,0.88,0.4
c_1,0.59,0.55,0.54,3.39,1.11,0.5,0.98,0.96,0.92,0.25,0.65,1.05,0.97,0.84,0.79,0.95
b_1,0.67,0.58,0.6,0.65,3.57,1.11,0.73,0.79,0.82,0.73,0.38,1.09,0.87,0.83,1.02,0.99
a_1,0.68,0.59,0.57,0.64,0.56,5.03,0.98,1.04,0.87,0.9,1.1,1.03,0.88,0.45,1.03,1.09
h_1,0.77,1.07,0.61,0.8,0.61,0.58,3.0,1.6,1.11,0.99,1.04,0.98,0.72,1.27,1.39,1.19
g_1,1.21,0.68,0.66,0.82,0.66,0.56,1.02,3.52,0.92,1.06,1.07,1.51,1.16,0.92,0.4,1.25
d_0,0.44,0.74,0.75,1.49,0.69,0.65,1.2,1.06,2.28,0.88,1.25,0.98,1.23,0.94,1.04,1.59
c_0,0.87,0.9,0.66,0.42,0.65,0.76,1.38,1.04,1.18,2.13,2.28,1.2,1.34,1.48,1.09,1.6
b_0,0.88,0.94,0.71,0.79,0.34,0.64,1.24,1.14,1.03,1.12,2.59,0.95,1.45,2.16,1.43,1.07
f_0,0.91,0.5,0.67,0.7,0.72,0.77,1.09,1.15,1.2,1.22,1.27,2.83,1.24,1.51,1.32,3.13
h_0,0.84,1.27,0.8,0.68,0.63,0.55,0.61,1.38,0.95,1.13,1.28,1.01,0.66,1.18,1.6,0.96
a_0,0.73,0.92,0.81,0.88,0.64,0.25,1.21,0.98,1.33,1.34,1.32,1.15,1.43,3.29,1.25,1.16
g_0,1.25,0.59,0.74,0.87,0.67,0.61,0.92,0.69,0.88,1.19,1.24,1.89,1.26,1.23,0.86,1.24
e_0,0.99,0.9,0.38,0.68,0.76,0.7,1.12,1.2,0.96,1.06,1.41,1.1,1.51,1.1,1.08,3.85
