,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.27,0.45,0.52,0.51,0.48,0.14,0.15,0.11,0.09,0.12,0.09,0.07,0.09,0.14,0.08
f_1,0.4,0.17,0.47,0.44,0.43,0.4,0.11,0.14,0.09,0.09,0.13,0.1,0.05,0.09,0.08,0.08
d_1,0.49,0.5,0.15,0.47,0.49,0.42,0.12,0.08,0.13,0.09,0.08,0.08,0.06,0.08,0.08,0.04
c_1,0.38,0.48,0.53,0.14,0.44,0.39,0.13,0.15,0.05,0.13,0.08,0.09,0.06,0.09,0.09,0.06
b_1,0.47,0.47,0.49,0.25,0.13,0.4,0.15,0.14,0.09,0.13,0.11,0.15,0.07,0.11,0.09,0.08
a_1,0.48,0.54,0.46,0.49,0.22,0.09,0.15,0.13,0.1,0.1,0.1,0.12,0.07,0.12,0.09,0.07
h_1,0.38,0.41,0.42,0.4,0.34,0.34,0.06,0.11,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.06
g_1,0.41,0.48,0.38,0.42,0.36,0.46,0.08,0.05,0.09,0.08,0.08,0.08,0.05,0.08,0.08,0.06
d_0,0.24,0.42,0.57,0.45,0.4,0.38,0.13,0.14,0.06,0.09,0.08,0.09,0.06,0.08,0.09,0.07
c_0,0.44,0.53,0.22,0.63,0.39,0.38,0.12,0.11,0.11,0.05,0.08,0.1,0.07,0.09,0.07,0.05
f_0,0.37,0.64,0.37,0.44,0.37,0.38,0.11,0.07,0.08,0.07,0.05,0.07,0.06,0.07,0.08,0.04
b_0,0.39,0.44,0.32,0.53,0.57,0.35,0.12,0.11,0.09,0.04,0.07,0.05,0.06,0.08,0.07,0.05
h_0,0.37,0.43,0.39,0.41,0.37,0.38,0.16,0.11,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.05
a_0,0.34,0.54,0.37,0.39,0.43,0.51,0.11,0.09,0.08,0.06,0.07,0.04,0.06,0.04,0.07,0.05
e_0,0.5,0.51,0.38,0.37,0.38,0.42,0.1,0.09,0.09,0.08,0.04,0.07,0.05,0.07,0.04,0.06
g_0,0.45,0.41,0.4,0.4,0.39,0.35,0.09,0.15,0.08,0.07,0.08,0.08,0.04,0.08,0.07,0.07
