,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.44,1.65,1.54,1.73,1.52,1.45,0.38,0.36,0.66,0.29,0.63,0.34,0.33,0.19,0.38,0.3
e_1,0.97,0.43,1.48,2.14,2.12,1.72,0.51,0.39,0.53,0.39,0.42,0.37,0.32,0.28,0.66,0.27
d_1,1.72,2.24,0.41,1.9,1.67,1.72,0.47,0.73,0.28,0.36,0.33,0.31,0.28,0.21,0.32,0.15
c_1,1.83,1.45,2.52,0.41,1.9,1.78,0.51,0.18,0.58,0.77,0.31,0.37,0.37,0.22,0.32,0.24
b_1,2.26,1.77,2.4,1.04,0.39,1.84,0.59,0.44,0.57,0.52,0.44,0.69,0.4,0.32,0.35,0.38
a_1,2.92,2.23,2.15,2.42,1.23,0.32,0.83,0.66,0.69,0.52,0.49,0.92,2.05,0.38,0.41,0.38
h_1,2.99,2.65,2.36,2.91,2.92,2.46,0.33,0.57,0.77,0.47,0.55,0.5,0.48,0.63,0.51,0.35
d_0,3.49,1.76,4.74,3.42,3.65,3.01,1.0,0.38,1.05,0.75,0.66,0.71,0.63,0.48,0.63,0.55
g_1,3.33,3.19,3.35,3.04,3.41,3.01,0.64,0.8,0.29,0.6,0.57,0.72,0.52,0.38,0.69,0.68
c_0,3.51,3.24,1.7,6.63,4.01,2.9,0.91,0.93,1.07,0.37,0.59,0.7,0.65,0.49,0.65,0.5
f_0,6.51,3.14,3.29,3.26,3.08,3.07,1.13,0.82,0.74,0.58,0.34,0.75,0.56,0.5,0.73,0.27
b_0,3.58,3.13,2.78,5.15,7.2,3.0,0.99,0.72,0.92,0.34,0.59,0.33,0.72,0.54,0.69,0.5
a_0,5.55,3.72,4.08,4.64,5.45,5.66,1.12,0.94,1.06,0.58,0.64,0.38,0.34,0.64,0.75,0.5
h_0,3.63,4.0,4.1,4.19,3.85,3.91,1.5,0.87,1.25,0.75,0.82,0.81,0.76,1.16,0.76,0.6
e_0,6.14,7.08,3.49,3.6,3.7,4.45,1.27,0.74,1.13,0.78,0.41,0.82,0.73,0.55,0.32,0.47
g_0,4.69,4.59,4.09,4.46,4.25,4.96,0.92,0.82,1.67,0.82,0.96,0.97,0.81,0.5,0.79,0.95
