,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.29,1.04,0.59,0.55,0.44,0.35,0.95,1.05,0.87,1.11,0.48,1.01,0.75,1.55,0.66,1.24
e_1,0.6,2.3,0.44,0.7,0.56,0.44,1.11,2.23,0.91,1.14,1.18,1.12,1.1,1.45,0.47,1.16
d_1,0.65,0.67,2.41,0.39,0.41,0.46,1.11,0.62,0.88,2.3,1.2,1.35,0.97,1.41,1.18,1.33
c_1,0.57,0.47,0.52,2.44,0.96,0.41,0.99,1.29,0.85,0.46,1.15,0.84,0.94,1.35,1.09,1.41
b_1,0.65,0.48,0.6,0.51,2.57,0.84,0.98,1.09,0.86,0.92,1.28,0.45,0.84,1.36,1.05,1.22
a_1,0.69,0.59,0.56,0.57,0.53,3.12,1.13,1.27,0.91,1.13,1.16,1.21,0.56,1.26,0.92,1.08
h_1,0.93,0.71,0.72,0.7,0.58,0.43,3.05,1.32,1.58,1.47,1.21,1.27,1.23,1.21,1.01,2.22
d_0,0.74,0.6,0.46,1.44,0.64,0.38,1.35,2.65,1.0,1.01,1.2,1.5,1.19,1.64,1.21,1.88
g_1,0.54,0.65,1.24,0.62,0.6,0.47,1.22,1.18,3.39,1.22,1.88,1.48,1.23,1.65,1.28,1.11
c_0,0.9,0.7,0.73,0.37,0.52,0.49,1.58,1.3,1.33,2.7,1.58,2.88,1.82,1.97,1.29,1.74
f_0,0.45,0.61,0.8,0.83,0.61,0.53,1.37,1.53,1.32,1.58,2.97,1.67,1.66,1.83,2.8,1.56
b_0,0.79,0.76,0.85,0.73,0.43,0.27,1.41,1.34,1.19,1.47,1.44,3.04,3.1,1.8,1.19,1.6
a_0,0.72,0.74,0.88,0.65,0.67,0.21,1.53,1.5,1.29,1.49,1.6,1.3,2.99,1.79,1.26,1.73
h_0,1.04,0.64,0.81,0.78,0.59,0.45,0.81,1.37,1.33,1.39,1.21,1.3,1.12,0.86,1.23,2.05
e_0,0.69,0.38,0.8,0.86,0.8,0.61,1.37,1.34,1.13,1.41,1.47,1.45,1.4,1.85,3.14,1.66
g_0,0.63,0.65,1.14,0.73,0.46,0.5,1.42,1.25,0.81,1.32,2.6,1.33,1.27,1.66,1.41,1.05
