,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,2.28,3.51,3.34,2.99,2.81,1.37,1.32,1.09,1.2,0.85,0.95,0.77,0.82,0.86,1.54
f_1,3.67,1.07,2.89,3.1,3.32,3.52,1.04,1.0,1.05,1.17,0.99,1.72,0.55,1.16,1.0,0.91
d_1,3.42,3.75,1.07,4.17,2.81,2.59,1.26,2.41,1.2,0.88,1.08,0.92,0.74,0.96,0.46,0.72
c_1,3.35,3.97,3.41,1.07,4.34,2.94,1.45,0.7,1.36,1.29,0.95,0.98,0.83,0.92,0.81,0.84
b_1,4.18,4.19,4.75,2.29,1.07,3.85,1.51,1.21,1.34,1.56,1.7,0.98,1.04,1.01,0.81,0.91
a_1,6.16,5.12,5.81,5.18,3.15,1.07,1.99,1.48,1.44,2.53,2.35,1.42,1.18,2.77,1.22,1.05
h_1,7.38,8.08,6.43,7.81,7.16,5.84,1.38,2.44,2.04,2.96,2.32,1.69,2.58,1.83,1.78,1.88
d_0,4.74,9.63,13.99,9.11,9.07,7.84,2.96,1.62,2.45,3.13,2.67,2.25,2.18,1.94,1.8,2.81
c_0,8.66,7.7,5.26,26.33,7.62,7.36,3.55,3.25,1.59,3.52,2.87,2.45,1.6,2.51,1.8,2.08
g_1,8.33,7.9,10.99,8.43,8.75,7.13,2.41,2.36,2.19,1.39,2.25,2.75,1.52,1.73,2.54,2.02
b_0,9.29,8.86,7.55,13.37,19.71,6.57,3.13,2.52,1.69,3.23,1.62,2.67,2.75,2.84,1.95,2.54
f_0,10.86,19.05,9.8,10.35,11.96,8.66,4.97,3.13,3.05,2.54,2.98,1.67,2.43,3.03,1.75,3.17
h_0,11.79,14.43,13.89,11.08,12.41,10.84,8.13,3.75,4.03,5.96,2.88,3.02,4.38,2.79,3.22,2.82
a_0,14.7,11.47,12.59,16.28,12.5,15.83,5.01,4.65,3.28,5.06,2.26,3.56,2.74,1.61,2.68,2.62
g_0,12.92,12.31,16.29,14.05,13.62,11.67,4.45,5.6,4.26,8.01,4.39,4.18,2.48,3.01,5.67,3.08
e_0,30.48,14.78,14.88,11.94,15.27,13.11,5.43,3.74,4.38,4.41,4.36,2.23,4.26,3.29,3.73,1.74
