,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.81,0.49,0.53,0.46,0.28,0.31,0.34,0.3,0.31,0.29,0.2,0.28,0.22,0.16,0.22
e_1,0.62,0.95,0.47,0.58,0.5,0.37,0.4,0.57,0.31,0.3,0.38,0.31,0.35,0.24,0.22,0.28
d_1,0.67,0.63,0.95,0.46,0.51,0.35,0.37,0.31,0.59,0.3,0.35,0.32,0.34,0.29,0.23,0.27
c_1,0.59,0.53,0.55,0.95,0.81,0.4,0.35,0.29,0.23,0.25,0.24,0.29,0.31,0.24,0.24,0.27
b_1,0.6,0.6,0.53,0.5,0.95,0.67,0.42,0.36,0.35,0.32,0.3,0.32,0.35,0.19,0.24,0.32
a_1,0.79,0.65,0.72,0.63,0.45,0.94,0.48,0.41,0.41,0.43,0.36,0.33,0.36,0.27,0.29,0.29
h_1,1.16,0.75,0.88,0.86,0.63,0.46,0.78,0.49,0.47,0.58,0.48,0.39,0.38,0.39,0.35,0.47
d_0,0.97,0.69,0.65,1.42,0.83,0.56,0.63,0.7,0.43,0.52,0.45,0.48,0.54,0.4,0.37,0.41
c_0,1.1,1.02,0.75,0.89,0.63,0.55,0.62,0.55,0.71,0.55,0.86,0.42,0.53,0.51,0.37,0.44
g_1,0.91,0.87,1.21,0.93,0.76,0.51,0.51,0.52,0.52,0.77,0.55,0.64,0.49,0.35,0.35,0.36
b_0,1.14,0.87,0.93,1.05,0.59,0.62,0.61,0.63,0.47,0.46,0.71,0.4,0.57,0.68,0.34,0.4
f_0,0.95,0.71,1.03,1.0,0.89,0.66,0.76,0.56,0.68,0.49,0.67,0.71,0.58,0.5,0.75,0.47
h_0,1.32,1.0,0.95,0.94,0.8,0.7,0.54,0.57,0.56,0.69,0.6,0.5,0.48,0.36,0.37,0.57
a_0,1.22,1.03,0.98,1.06,1.0,0.48,0.75,0.6,0.61,0.63,0.56,0.49,0.67,0.66,0.38,0.48
e_0,1.25,0.83,1.05,1.09,0.94,0.76,0.76,0.56,0.66,0.6,0.69,0.39,0.71,0.51,0.63,0.54
g_0,1.16,0.88,1.4,1.0,0.76,0.71,0.69,0.56,0.68,0.54,0.7,0.71,0.56,0.49,0.49,0.48
