,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.04,1.24,0.77,0.77,0.64,0.56,0.87,0.88,0.88,0.9,0.55,0.93,0.8,1.03,0.65,0.93
e_1,0.79,2.03,0.6,0.98,0.73,0.68,0.97,1.66,0.93,0.88,0.98,0.97,1.01,0.98,0.67,0.91
d_1,0.86,0.81,2.26,0.55,0.59,0.79,1.05,0.62,0.91,1.8,1.05,1.19,0.99,1.0,1.07,1.03
c_1,0.69,0.6,0.74,2.3,1.35,0.74,0.85,0.96,0.93,0.48,1.0,0.7,0.9,0.9,1.06,0.97
b_1,0.76,0.67,0.75,0.7,2.51,1.48,0.86,0.84,0.82,0.76,1.05,0.56,0.78,0.99,1.04,0.97
a_1,0.85,0.82,0.81,0.75,0.69,3.51,1.01,0.97,0.96,0.97,1.03,1.12,0.72,1.01,0.91,0.86
h_1,1.06,0.79,0.93,0.84,0.74,0.63,2.0,0.86,1.38,1.05,1.08,1.01,1.05,0.84,1.01,1.47
d_0,0.87,0.68,0.61,1.57,0.9,0.61,1.08,1.55,0.95,0.7,0.88,1.09,1.01,1.1,1.13,1.15
g_1,0.71,0.72,1.42,0.81,0.67,0.67,1.0,0.88,2.55,1.05,1.45,1.12,1.2,1.03,1.21,0.84
c_0,1.02,0.81,0.96,0.57,0.63,0.68,1.22,0.88,1.23,1.74,1.17,2.07,1.57,1.17,1.25,1.21
f_0,0.57,0.71,0.98,0.99,0.89,0.78,1.16,1.01,1.22,1.09,1.93,1.32,1.43,1.12,2.49,1.11
b_0,0.93,0.84,1.03,0.85,0.62,0.55,1.11,0.91,1.06,1.11,1.05,2.06,2.49,1.11,1.11,1.04
a_0,0.9,0.83,1.0,0.79,0.81,0.43,1.26,1.0,1.1,1.22,1.18,1.19,2.23,1.16,1.25,1.25
h_0,1.17,0.74,0.99,0.95,0.73,0.75,0.72,0.91,1.33,0.95,0.96,1.03,0.97,0.77,1.08,1.38
e_0,0.78,0.52,0.93,1.03,1.02,0.79,1.09,0.9,1.23,1.08,1.11,1.14,1.3,1.29,2.37,1.2
g_0,0.72,0.7,1.31,0.86,0.69,0.72,1.14,0.89,0.75,1.07,1.91,1.09,1.06,1.05,1.53,0.89
