,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.66,1.15,1.1,0.92,0.99,0.91,0.48,0.45,0.34,0.5,0.42,0.36,0.31,0.34,0.22,0.37
f_1,1.02,0.65,1.18,1.13,1.01,0.9,0.4,0.37,0.5,0.42,0.35,0.42,0.26,0.35,0.34,0.3
e_1,1.2,0.74,0.65,1.21,1.18,0.99,0.49,0.44,0.53,0.48,0.42,0.51,0.34,0.38,0.37,0.46
c_1,1.33,1.26,0.95,0.62,1.51,0.9,0.44,0.49,0.49,0.28,0.36,0.37,0.32,0.37,0.33,0.38
b_1,1.25,1.39,1.11,0.72,0.61,1.38,0.67,0.5,0.56,0.41,0.6,0.45,0.37,0.45,0.39,0.42
a_1,1.47,1.46,1.41,1.5,0.74,0.57,0.7,0.51,0.69,0.52,0.59,0.52,0.47,0.62,0.48,0.43
h_1,1.57,1.81,1.67,2.11,1.55,1.45,0.55,0.61,0.79,0.67,0.57,0.61,0.56,0.5,0.53,0.53
c_0,1.29,2.18,2.14,2.32,1.67,1.8,0.89,0.58,0.83,0.86,0.9,0.68,0.63,0.71,0.56,0.64
g_1,1.91,2.06,1.88,1.99,1.77,1.53,0.65,0.64,0.54,0.69,0.63,0.62,0.48,0.63,0.51,0.58
d_0,2.24,1.84,1.24,2.12,2.08,1.9,0.9,0.68,0.98,0.58,0.78,0.67,0.6,0.75,0.67,0.62
b_0,1.7,2.13,1.99,2.6,2.03,1.6,0.96,0.48,0.91,0.76,0.56,0.78,0.61,0.83,0.61,0.68
f_0,2.03,2.55,1.77,2.24,1.84,1.8,0.93,0.76,0.74,0.79,0.71,0.54,0.65,0.79,0.41,0.85
h_0,2.11,2.3,2.03,2.13,2.14,1.87,1.16,0.76,0.95,0.82,0.76,0.75,0.72,0.68,0.68,0.64
a_0,2.12,2.43,2.24,2.72,2.36,2.3,1.1,0.7,0.94,0.95,0.51,0.81,0.71,0.53,0.7,0.84
g_0,2.41,2.47,2.19,2.46,2.16,1.82,0.95,0.84,1.12,0.86,0.79,0.9,0.56,0.7,0.69,0.83
e_0,2.23,3.06,2.67,2.11,2.27,2.09,1.12,0.94,0.87,1.06,0.73,0.51,0.74,0.73,0.59,0.55
