,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,1.73,1.49,2.02,1.49,1.43,0.34,0.51,0.4,0.36,0.28,1.23,0.3,0.17,0.34,0.29
e_1,0.93,0.16,1.66,1.58,1.97,1.89,0.51,0.64,0.34,0.37,0.31,0.4,0.44,0.29,2.23,0.24
d_1,1.77,2.49,0.16,1.63,1.48,1.4,0.41,0.27,0.3,1.67,0.35,0.28,0.27,0.23,0.32,0.14
c_1,1.83,1.46,1.9,0.16,1.51,1.73,0.48,0.39,1.33,0.19,0.37,0.29,0.34,0.26,0.31,0.26
b_1,2.0,1.42,1.89,0.82,0.14,1.94,0.5,0.67,0.43,0.36,1.29,0.37,0.37,0.29,0.44,0.27
a_1,1.52,1.73,1.56,1.88,1.09,0.1,0.79,0.66,0.31,0.34,0.48,0.32,1.63,0.27,0.38,0.23
h_1,1.05,0.83,0.84,1.16,1.03,1.03,0.06,0.33,0.17,0.14,0.21,0.17,0.18,0.32,0.14,0.12
g_1,0.89,1.2,0.88,1.3,1.14,0.89,0.18,0.05,0.16,0.23,0.2,0.15,0.19,0.08,0.16,0.29
c_0,1.06,0.9,0.45,4.05,1.09,0.88,0.21,0.34,0.07,0.22,0.18,0.15,0.17,0.12,0.19,0.14
d_0,0.97,0.49,4.29,0.87,1.05,0.79,0.3,0.33,0.2,0.07,0.22,0.21,0.21,0.14,0.17,0.22
b_0,0.79,0.79,0.68,1.39,3.09,0.97,0.25,0.26,0.09,0.19,0.06,0.19,0.17,0.12,0.15,0.13
f_0,2.59,1.02,0.67,1.02,0.84,0.89,0.3,0.16,0.17,0.23,0.15,0.05,0.18,0.15,0.18,0.11
a_0,0.92,0.75,1.02,1.0,1.02,2.84,0.25,0.26,0.16,0.16,0.09,0.2,0.05,0.13,0.21,0.12
h_0,1.02,0.98,0.87,0.89,0.84,0.92,0.65,0.25,0.19,0.22,0.17,0.18,0.13,0.42,0.17,0.15
e_0,1.5,,0.79,1.02,0.75,0.7,0.29,0.19,0.18,0.3,0.23,0.07,0.15,0.08,0.04,0.11
g_0,1.02,0.88,0.93,0.89,0.82,0.77,0.2,0.86,0.22,0.24,0.18,0.23,0.2,0.11,0.16,0.39
