,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.33,0.85,0.83,0.91,0.64,0.41,0.47,0.39,0.37,0.36,0.44,0.32,0.35,0.31,0.26
e_1,0.75,1.0,1.03,1.04,0.88,0.8,0.53,0.42,0.47,0.61,0.41,0.43,0.38,0.33,0.38,0.43
d_1,1.18,0.97,1.0,0.79,0.87,0.68,0.46,0.44,0.6,0.48,0.45,0.37,0.35,0.33,0.27,0.3
c_1,1.2,0.97,1.27,1.0,1.24,0.72,0.5,0.38,0.35,0.33,0.37,0.42,0.31,0.3,0.37,0.3
b_1,1.09,1.14,1.14,0.81,1.0,1.11,0.66,0.48,0.52,0.42,0.45,0.4,0.41,0.32,0.35,0.36
a_1,1.57,1.26,1.46,1.38,0.9,1.0,0.67,0.61,0.47,0.51,0.62,0.51,0.56,0.49,0.39,0.48
h_1,2.53,1.83,2.18,2.0,1.5,1.48,1.0,1.1,0.91,0.92,0.85,0.63,0.75,0.62,0.74,0.61
g_1,2.15,2.2,2.36,2.55,2.0,1.59,0.91,1.0,0.99,0.8,0.82,1.13,0.59,0.61,0.73,0.65
c_0,2.6,2.14,1.65,3.07,2.05,2.05,1.07,1.01,1.0,1.13,1.31,1.05,0.75,0.86,0.78,0.68
d_0,2.67,1.55,2.16,3.25,2.38,1.82,1.08,1.24,0.86,1.0,0.88,0.87,0.81,0.8,0.76,0.72
b_0,2.72,2.49,2.13,2.8,2.09,1.63,1.2,1.2,0.77,1.09,1.0,0.94,0.82,1.09,0.84,0.88
f_0,2.28,2.31,2.66,2.49,2.49,2.05,1.66,0.86,1.04,1.15,1.07,1.0,0.85,0.79,0.68,1.11
h_0,3.28,2.49,2.88,3.28,2.33,1.91,1.37,1.69,1.28,1.2,1.2,1.21,1.0,1.06,1.08,0.76
a_0,2.88,3.01,3.23,3.2,3.29,1.89,1.65,1.69,1.13,1.26,0.94,1.21,0.93,1.0,0.93,0.82
g_0,3.11,2.68,3.66,2.87,2.78,2.66,1.34,1.44,1.25,1.33,1.19,1.47,0.92,1.05,1.0,1.5
e_0,4.22,2.43,3.19,3.49,2.63,2.05,1.63,1.51,1.37,1.33,1.12,0.86,1.39,1.38,0.64,1.0
