,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.27,0.45,0.43,0.62,0.41,0.32,0.87,0.88,1.85,0.83,0.92,1.16,1.25,0.43,0.89,1.1
d_1,0.49,2.32,0.56,0.34,0.42,0.37,0.92,0.94,0.41,1.87,1.25,1.04,1.31,0.88,0.98,0.99
f_1,0.94,0.47,2.35,0.45,0.32,0.31,0.83,0.65,0.98,0.93,0.96,0.23,0.9,0.51,0.71,1.0
c_1,0.43,0.48,0.47,2.47,0.89,0.36,0.74,0.82,1.02,0.25,0.71,0.88,1.23,0.64,0.68,0.87
b_1,0.42,0.47,0.54,0.4,2.6,0.77,0.9,0.87,1.03,0.98,0.37,0.95,1.32,0.82,0.41,1.04
a_1,0.45,0.55,0.57,0.54,0.36,3.01,0.9,0.84,0.8,1.02,1.05,0.84,1.22,0.96,0.27,1.07
h_1,0.57,0.65,0.84,0.51,0.57,0.43,3.06,1.37,1.09,1.2,0.98,1.04,0.88,1.16,0.96,2.05
g_1,0.54,0.94,0.5,0.57,0.49,0.45,0.91,3.03,1.14,1.12,1.12,1.81,1.33,1.17,0.8,0.89
d_0,0.64,0.37,0.52,1.09,0.53,0.52,1.04,0.94,2.46,0.85,0.83,1.13,1.53,1.18,0.8,1.64
c_0,0.68,0.8,0.69,0.3,0.39,0.43,1.07,1.12,1.02,2.61,2.16,1.2,1.69,1.14,1.22,1.3
b_0,0.55,0.71,0.71,0.58,0.2,0.41,1.21,0.93,1.34,1.34,2.82,1.22,1.85,0.96,2.4,1.45
f_0,0.53,0.81,0.35,0.64,0.56,0.42,1.09,1.08,1.51,1.2,1.05,2.83,1.88,2.18,0.93,1.74
h_0,0.48,0.7,0.93,0.55,0.5,0.5,0.5,1.53,1.24,1.22,1.31,1.16,0.7,1.02,0.91,1.69
e_0,0.28,0.77,0.61,0.64,0.56,0.48,1.13,1.35,1.57,1.19,1.34,1.29,1.95,3.14,1.05,1.55
a_0,0.57,0.65,0.68,0.67,0.55,0.15,1.17,0.95,1.5,1.02,1.41,1.36,1.96,1.12,3.24,1.35
g_0,0.49,1.03,0.52,0.62,0.46,0.38,1.23,0.7,1.22,1.07,1.04,1.9,1.92,1.31,1.03,0.68
