,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,9527.21,3281.1,5419.29,3675.83,4840.9,21767.17,4328962.07,7555087.04,11722682.71,9301353.18,34058949.49,15104906.91,90324074.99,139618506.56,146726891.49,223632621.77
c_1,2029.37,14918.79,3109.61,8735.07,4571.27,20303.63,3770906.1,9789394.09,3165470.4,8982544.95,14794712.39,30450614.34,62897452.13,134742507.46,142609309.8,242951179.25
e_1,2505.44,4069.13,16707.53,4383.77,3545.0,19396.8,5727453.18,16338542.05,10999818.16,7930636.13,29919138.74,35418737.69,85164442.19,133650780.7,46323005.64,262398973.77
b_1,2280.58,3122.0,3212.95,23249.03,4958.45,41708.32,4415158.87,7141914.11,9825869.28,9674029.59,13250531.83,38369026.94,66983626.5,111885167.29,206892811.98,220193564.5
d_1,2183.83,1850.14,3553.0,4280.96,26641.45,27009.68,4233783.28,4435552.51,22229669.09,9631077.99,36180515.85,53807902.83,110375516.5,144844559.15,186111001.6,260859099.39
a_1,2388.37,3091.51,3127.07,4282.05,6499.89,185102.02,5003099.11,6893116.08,10070678.78,8512509.98,31309329.76,42921829.72,48898995.91,113742684.43,182506575.69,254868458.18
h_1,3416.23,4542.42,3827.78,4816.31,6272.85,23906.27,16686196.13,10119368.56,12246455.62,15210371.83,33706450.32,42885381.15,108382287.35,90790746.0,164516524.85,369168272.98
d_0,2735.16,7454.24,3915.74,5566.31,3022.49,24057.34,5203580.1,21422643.71,9679907.88,9692496.68,26088741.59,45385815.8,99276221.86,185753694.12,239622337.25,284726483.62
c_0,3052.59,2325.86,4268.32,4152.44,7330.82,27639.36,5923728.18,10669894.84,30901959.97,11812060.71,72176171.84,57606748.61,149194774.1,192837521.44,241962054.24,318788710.63
g_1,2285.22,3683.58,3669.1,4197.71,11186.04,22352.58,4224316.72,8768664.44,14649965.6,41053788.64,31361349.41,66091943.81,112454633.46,176838529.48,199616312.13,176051957.41
b_0,2851.59,4112.68,3971.06,2834.42,6993.42,23044.02,4967053.73,13170389.5,15103133.91,10629777.09,83832572.65,46611262.36,240815628.86,191803143.93,217842570.84,363319381.42
f_0,2031.37,4703.08,3574.62,5120.75,6478.1,35244.97,6267704.91,13147956.74,16397922.38,10989101.63,40242556.29,122358958.76,112080921.27,175101581.5,450314922.57,308089387.36
a_0,3433.37,4011.63,4603.23,5109.38,5482.01,13961.58,5990797.63,11915858.54,13197796.8,10589205.43,36071170.39,53605989.12,347957965.07,220641593.73,234234214.66,277847299.32
h_0,4101.84,4052.88,3536.37,5229.84,5846.07,28752.8,2604830.23,13319066.08,13689066.98,15390237.41,40139104.99,40427211.25,117906464.01,101113996.73,250562956.98,329950716.57
e_0,3326.71,3275.01,2230.12,5706.29,7347.87,25598.88,6436596.26,9875250.89,14322342.8,12096295.7,34038861.07,55305887.35,120619630.51,163977096.1,667522670.56,408074700.59
g_0,2244.37,3766.17,3554.5,5062.69,10571.48,29696.5,6335224.22,10888459.22,13251536.34,5683396.42,31370930.66,79954619.01,106806154.86,187352621.87,297227459.78,183538587.89
