,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.44,0.22,0.24,0.31,0.23,0.3,0.53,0.53,0.64,0.93,0.73,0.68,0.79,0.55,,0.58
d_1,0.29,2.45,0.25,0.25,0.28,0.33,0.53,0.46,1.02,,0.64,0.56,0.95,0.5,0.7,0.57
f_1,0.44,0.28,2.47,0.22,0.27,0.23,0.55,0.58,0.6,0.68,,0.6,0.7,0.66,0.48,0.77
c_1,0.21,0.28,0.33,2.59,0.53,0.28,0.53,0.41,,0.54,0.72,0.37,0.82,0.65,0.6,0.81
b_1,0.32,0.22,0.26,0.18,2.65,0.47,0.62,0.48,0.52,0.61,0.61,,0.99,0.66,,0.83
a_1,0.26,0.27,0.28,0.3,0.24,3.15,0.47,0.62,0.56,0.73,,0.73,0.67,,0.69,0.91
h_1,0.52,0.49,0.59,0.68,0.5,0.54,3.69,1.12,1.2,1.03,1.2,1.35,,1.03,0.81,2.19
g_1,0.53,0.85,0.49,0.41,0.61,0.44,1.09,4.12,1.14,1.2,1.52,1.41,0.86,1.06,1.06,
c_0,0.6,0.59,0.62,,0.59,0.59,1.33,1.27,3.59,1.51,1.34,2.09,1.14,1.59,1.49,1.69
d_0,0.65,,0.63,1.13,0.67,0.53,1.42,0.82,0.9,3.57,1.5,1.5,1.79,1.27,1.04,1.4
f_0,0.55,0.67,,0.57,0.64,,1.2,1.34,1.48,1.19,3.84,1.28,1.96,,2.8,1.5
b_0,0.52,0.75,0.67,0.76,,0.46,1.09,1.21,1.3,1.09,1.22,3.88,2.39,2.83,1.04,1.32
h_0,0.65,0.54,1.08,0.72,0.76,0.58,,2.42,2.22,1.74,1.37,1.16,,1.61,1.67,2.7
a_0,0.67,0.71,0.6,0.56,0.48,,1.43,1.06,1.18,1.34,,0.99,2.17,4.52,,2.18
e_0,,0.56,0.73,0.53,,0.84,1.55,1.42,1.2,1.87,1.04,1.51,1.92,,4.57,1.66
g_0,0.76,1.2,0.63,0.75,0.67,0.66,1.19,,1.42,1.68,2.18,2.42,1.8,1.52,1.66,
