,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.51,0.68,0.54,0.86,0.63,0.54,0.86,1.0,0.8,1.62,1.05,1.04,0.95,0.97,0.57,1.03
f_1,1.15,2.57,0.61,0.68,0.5,0.43,0.95,0.7,0.76,0.85,0.94,0.33,0.82,0.94,0.8,0.84
d_1,0.55,0.71,2.79,0.47,0.72,0.73,0.86,1.0,1.81,0.47,1.07,0.9,1.19,1.07,1.06,0.87
c_1,0.6,0.65,0.65,2.97,1.25,0.5,0.76,0.77,0.33,0.88,0.61,1.08,0.82,0.91,1.11,0.98
b_1,0.53,0.61,0.73,0.62,3.17,1.34,0.94,0.77,0.8,0.77,0.39,1.04,1.07,0.57,0.98,0.93
a_1,0.65,0.75,0.7,0.59,0.55,4.32,1.06,0.89,1.04,0.99,0.96,0.93,1.02,0.59,0.95,1.11
h_1,0.81,1.13,0.75,0.78,0.62,0.76,2.72,1.51,1.16,0.99,1.19,1.06,0.61,1.21,0.98,1.37
g_1,0.61,0.67,1.31,0.85,0.71,0.76,0.99,3.12,1.14,0.92,1.09,1.85,1.28,1.12,1.17,0.69
c_0,0.85,0.82,0.93,0.53,0.53,0.92,1.21,0.96,2.2,1.18,2.4,1.22,1.16,1.31,1.26,1.17
d_0,0.92,0.83,0.37,1.53,0.75,0.59,1.1,1.12,0.82,2.11,1.31,1.28,1.12,0.98,1.16,1.3
b_0,0.74,0.87,0.96,0.8,0.4,0.66,1.25,1.35,1.21,1.04,2.33,1.35,1.26,2.64,1.24,1.13
f_0,0.68,0.53,0.97,0.93,0.78,0.94,1.13,1.36,1.11,1.06,1.38,2.33,1.36,1.18,2.09,1.07
h_0,0.83,1.07,1.03,0.83,0.6,0.66,0.72,1.38,1.1,1.02,1.25,0.99,0.8,0.88,1.16,1.66
a_0,0.82,0.83,0.91,0.71,0.88,0.37,1.17,1.33,1.22,1.27,1.34,1.26,1.37,2.89,1.03,1.21
e_0,0.49,0.92,0.79,0.99,0.82,0.75,1.31,1.1,1.25,1.45,1.14,1.15,1.25,1.06,3.1,1.37
g_0,0.66,0.73,1.26,0.94,0.79,0.72,0.87,0.8,1.12,0.98,1.4,2.01,0.97,1.35,1.05,0.74
