,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.46,18.54,32.85,24.68,31.48,50.59,9.27,8.1,10.73,5.62,6.34,6.91,7.73,5.24,4.66,
f_1,35.54,0.46,29.77,31.3,40.44,44.4,7.65,7.02,7.77,7.51,5.14,,7.69,2.83,5.3,4.19
d_1,59.94,33.1,0.43,29.46,33.83,44.41,7.87,,5.24,8.7,6.5,6.28,8.84,4.91,2.85,6.39
c_1,49.67,34.4,42.04,0.42,36.79,34.34,10.91,3.37,10.6,,8.04,6.46,6.99,5.44,5.0,6.82
b_1,61.22,39.08,46.67,21.8,0.37,46.52,9.94,6.09,12.83,7.13,,8.39,,11.77,4.57,8.15
a_1,44.99,59.35,43.03,58.97,32.65,0.32,12.1,10.18,12.93,8.49,12.0,7.4,,4.39,9.53,
h_1,19.62,14.18,14.85,19.7,13.15,16.01,0.39,3.61,5.21,4.51,3.37,3.58,2.95,,2.13,4.09
d_0,8.34,17.87,,14.02,20.65,13.38,5.67,0.5,5.74,2.56,3.61,3.47,2.25,1.76,2.75,2.33
g_1,24.2,23.05,20.43,17.18,18.16,18.28,4.11,3.89,0.33,4.71,5.05,6.97,,1.96,,5.33
c_0,12.96,13.7,8.9,,25.79,20.06,3.68,3.41,4.64,0.49,3.26,3.66,3.75,2.39,3.11,2.84
b_0,12.43,22.23,18.29,19.93,,24.04,4.58,3.74,4.26,2.42,0.44,4.43,4.04,2.29,1.62,4.54
f_0,18.22,,15.97,19.1,16.1,20.57,4.57,4.18,2.64,2.7,4.21,0.45,4.03,2.93,1.38,3.62
a_0,18.25,22.99,19.48,20.93,,,4.46,4.82,,5.74,2.31,2.63,0.39,2.7,4.14,
h_0,11.35,12.36,15.64,14.61,11.33,7.71,,2.49,5.24,2.07,2.89,2.57,2.4,,2.02,2.91
g_0,14.51,14.8,16.79,28.01,19.0,8.45,4.02,3.18,,2.15,3.01,2.46,2.21,1.41,,1.86
e_0,,38.68,18.69,24.01,13.54,,4.25,4.2,4.92,5.27,4.84,2.25,,2.61,3.8,0.4
