,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.53,0.85,0.75,1.07,0.95,0.63,1.05,1.59,0.94,0.98,1.04,1.05,1.18,1.1,0.77,1.01
f_1,1.36,1.53,0.83,0.83,0.75,0.68,0.89,1.06,0.87,1.02,0.98,0.78,0.93,0.84,0.71,0.94
d_1,0.94,1.14,1.58,0.74,0.73,0.75,1.06,0.94,0.82,1.61,1.23,0.94,1.23,0.96,0.96,0.96
c_1,0.8,0.87,0.91,1.59,1.37,0.76,0.98,0.93,0.95,0.62,0.87,0.97,1.13,0.84,0.89,1.03
b_1,0.78,0.92,0.98,0.82,1.61,1.39,1.07,1.01,0.99,1.11,0.8,1.08,1.12,0.79,0.9,1.19
a_1,1.11,1.07,1.02,0.97,0.69,1.74,1.25,1.22,1.12,1.04,1.09,1.13,1.31,0.76,1.16,1.25
h_1,1.16,1.53,1.21,1.06,1.06,0.83,1.81,1.26,1.44,1.23,1.19,1.21,1.14,1.04,1.08,1.56
d_0,0.97,1.18,0.96,1.8,1.26,0.88,1.26,1.72,1.14,0.89,1.2,1.23,1.55,1.1,1.17,1.43
g_1,1.07,1.16,1.62,0.99,1.03,0.9,1.2,1.16,1.93,1.39,1.17,1.66,1.34,1.17,1.36,1.19
c_0,1.21,1.39,1.16,1.18,0.86,0.94,1.56,1.76,1.23,1.76,2.07,1.32,1.61,1.48,1.29,1.61
b_0,1.24,1.36,1.18,1.26,0.95,0.82,1.5,1.46,1.41,1.25,1.84,1.19,1.69,1.96,1.34,1.59
f_0,1.09,1.03,1.21,1.24,1.23,1.11,1.52,1.56,1.24,1.39,1.39,1.87,1.7,1.17,2.14,1.35
h_0,1.29,1.61,1.24,1.22,1.2,1.01,1.12,1.39,1.52,1.28,1.17,1.16,1.27,0.99,1.11,1.72
a_0,1.31,1.35,1.26,1.28,1.21,0.81,1.6,1.64,1.2,1.27,1.35,1.46,1.87,1.84,1.33,1.43
e_0,1.18,1.56,1.35,1.26,1.3,0.9,1.48,1.46,1.28,1.47,1.3,1.18,1.78,1.16,1.82,1.7
g_0,1.26,1.32,1.75,1.23,1.1,0.99,1.27,1.3,1.02,1.42,1.37,1.74,1.4,1.33,1.23,1.29
