,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,92.84,99.73,77.93,86.0,123.06,14.34,16.05,23.93,13.36,13.8,,9.7,17.17,18.0,16.57
e_1,48.86,1.16,102.84,88.75,83.61,109.39,27.73,14.38,28.09,15.41,14.15,18.33,14.89,15.19,,23.2
d_1,116.65,135.69,1.15,71.0,120.4,93.76,24.47,17.25,14.68,,18.4,21.15,13.45,19.75,24.0,7.1
c_1,84.09,110.25,113.48,1.15,97.1,82.04,26.0,,25.84,9.85,22.08,15.28,16.68,18.81,20.0,13.92
b_1,92.72,103.76,137.12,58.09,1.15,,21.89,18.16,38.0,23.12,,17.19,14.38,28.21,18.0,15.82
a_1,120.53,176.4,182.83,199.69,,1.15,34.67,43.13,49.69,28.62,39.43,30.56,23.17,,,
h_1,97.73,76.7,99.73,103.06,97.1,63.52,2.0,20.91,25.84,21.46,34.5,21.15,,21.94,16.36,8.92
c_0,120.53,98.0,45.08,,97.1,70.32,30.81,2.89,19.58,17.68,20.44,22.0,11.91,15.8,20.0,12.0
g_1,116.65,141.12,164.55,145.23,94.06,89.5,41.6,32.86,2.0,26.13,29.05,22.92,12.64,30.38,,
d_0,133.93,63.0,,114.11,125.42,89.5,26.0,23.0,35.89,3.13,19.71,18.97,8.69,17.95,18.95,13.38
b_0,113.0,88.2,99.73,99.84,,131.27,26.0,14.38,43.07,25.04,2.98,28.95,13.03,24.69,21.18,29.0
f_0,,106.91,80.27,88.75,107.5,179.0,33.28,23.0,20.84,35.35,24.0,3.01,18.95,24.69,32.73,8.09
h_0,82.18,76.7,84.38,99.84,75.25,72.93,,22.26,30.76,17.68,18.4,22.0,,26.33,22.5,20.47
a_0,200.89,220.5,182.83,266.25,215.0,,69.33,24.64,28.09,35.35,16.24,34.38,20.85,2.86,30.0,20.47
e_0,212.71,,164.55,290.45,158.42,,55.47,28.75,,50.08,42.46,14.47,23.17,28.21,2.81,24.86
g_0,120.53,135.69,143.09,106.5,136.82,,22.49,32.86,,21.46,19.03,23.91,11.91,28.21,18.0,
