,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.09,1.0,0.86,0.85,0.83,0.68,0.52,0.78,0.61,0.7,0.59,0.61,0.6,0.55,0.48
f_1,0.91,1.0,1.22,0.93,0.93,0.74,0.62,0.71,0.64,0.7,0.61,0.6,0.61,0.5,0.46,0.58
e_1,0.99,0.83,1.0,1.26,0.98,0.85,0.74,0.69,0.62,0.89,0.72,0.67,0.61,0.61,0.6,0.6
c_1,1.16,1.07,0.81,1.0,1.24,0.89,0.75,0.74,0.55,0.47,0.47,0.63,0.52,0.59,0.56,0.59
b_1,1.17,1.07,1.01,0.81,1.0,1.24,0.82,0.8,0.77,0.67,0.68,0.66,0.58,0.66,0.56,0.64
a_1,1.19,1.32,1.15,1.11,0.81,1.0,1.01,0.87,0.81,0.77,0.81,0.79,0.65,0.75,0.79,0.8
h_1,1.45,1.65,1.36,1.31,1.2,1.01,1.0,1.05,0.94,0.9,0.97,0.85,0.82,0.87,0.86,0.88
g_1,1.88,1.44,1.42,1.32,1.23,1.18,0.93,1.0,0.89,0.89,0.97,1.09,0.91,0.8,0.96,0.81
c_0,1.27,1.59,1.62,1.8,1.36,1.3,1.03,1.13,1.0,1.31,1.32,0.94,1.03,0.88,0.92,0.81
d_0,1.6,1.4,1.19,2.14,1.49,1.32,1.07,1.12,0.79,1.0,0.94,0.97,1.01,0.94,0.87,0.81
b_0,1.42,1.72,1.41,2.07,1.55,1.14,1.03,1.01,0.76,1.11,1.0,0.92,1.25,0.97,0.87,0.85
f_0,1.7,1.65,1.43,1.67,1.66,1.25,1.17,0.9,1.08,1.04,0.97,1.0,0.96,0.96,1.34,0.82
a_0,1.61,1.66,1.6,1.88,1.74,1.47,1.27,1.05,0.95,1.08,0.84,1.04,1.0,1.09,0.97,1.01
h_0,1.67,1.98,1.68,1.63,1.49,1.34,1.16,1.25,1.11,1.08,1.02,1.03,0.92,1.0,0.84,1.02
e_0,1.82,2.24,1.61,1.79,1.83,1.35,1.24,1.04,1.1,1.11,1.13,0.73,1.05,1.2,1.0,0.87
g_0,2.22,1.74,1.68,1.67,1.57,1.27,1.11,1.16,1.26,1.16,1.14,1.19,1.0,0.98,1.07,1.0
