,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,0.94,0.98,0.8,0.73,0.6,0.71,0.6,0.66,0.62,0.67,0.54,0.46,0.55,0.59
e_1,0.82,1.0,0.98,1.15,0.99,0.79,0.73,0.74,0.6,0.86,0.64,0.77,0.6,0.61,0.59,0.6
d_1,1.09,1.0,1.0,0.89,0.97,0.82,0.71,0.55,0.84,0.61,0.67,0.59,0.55,0.59,0.52,0.44
c_1,1.05,0.86,1.11,1.0,1.31,0.91,0.74,0.72,0.57,0.49,0.57,0.63,0.56,0.6,0.57,0.58
b_1,1.23,1.02,1.04,0.75,1.0,1.15,0.75,0.7,0.79,0.65,0.67,0.66,0.67,0.62,0.61,0.59
a_1,1.32,1.24,1.21,1.11,0.9,1.0,0.95,0.79,0.82,0.77,0.88,0.71,0.73,0.73,0.7,0.7
h_1,1.61,1.4,1.44,1.35,1.32,1.04,1.0,1.02,0.84,0.86,0.83,0.92,0.85,0.78,0.85,0.96
g_1,1.42,1.31,1.75,1.38,1.42,1.24,0.99,1.0,0.94,0.87,0.89,1.09,0.73,0.82,0.87,0.79
c_0,1.69,1.7,1.22,1.7,1.22,1.17,1.17,1.09,1.0,1.24,1.33,1.01,0.97,0.92,0.96,0.88
d_0,1.56,1.22,1.61,2.01,1.62,1.3,1.17,1.1,0.78,1.0,0.93,0.97,0.91,0.98,0.94,1.01
b_0,1.58,1.5,1.48,1.8,1.45,1.19,1.17,1.08,0.77,1.09,1.0,0.98,1.01,0.96,1.24,0.88
f_0,1.46,1.34,1.69,1.53,1.52,1.4,1.1,0.92,1.02,1.02,0.99,1.0,1.02,1.41,0.94,0.75
h_0,1.82,1.72,1.79,1.75,1.49,1.3,1.19,1.38,1.05,1.08,1.02,0.99,1.0,0.83,0.86,1.02
e_0,2.16,1.64,1.68,1.71,1.65,1.41,1.33,1.14,1.07,1.04,1.03,0.73,1.15,1.0,1.0,0.9
a_0,1.87,1.69,1.86,1.78,1.62,1.36,1.16,1.11,1.08,1.11,0.85,1.11,1.18,0.98,1.0,1.01
g_0,1.74,1.75,2.17,1.77,1.72,1.47,1.02,1.3,1.11,0.99,1.18,1.31,1.02,1.11,0.99,1.0
