,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.7,2.51,1.19,1.29,1.13,1.03,4.44,4.28,5.38,5.4,6.12,2.23,9.1,3.6,6.13,7.94
e_1,1.41,5.95,1.2,1.61,1.0,1.23,4.86,5.0,5.05,12.34,7.76,7.45,9.6,3.5,6.31,9.68
d_1,1.35,1.1,6.07,1.09,1.57,1.36,4.71,4.35,12.45,2.2,6.79,6.86,8.77,7.39,6.04,9.22
c_1,1.32,1.2,1.19,7.16,2.39,1.28,4.35,4.52,1.97,6.05,5.25,5.54,8.78,5.54,5.47,8.43
b_1,1.5,1.07,1.55,1.08,7.32,2.27,4.45,4.55,5.11,5.98,2.76,6.66,8.84,6.0,4.9,7.83
a_1,1.54,0.93,1.38,1.45,1.19,11.74,5.62,4.09,7.5,5.72,6.52,5.1,9.42,8.95,3.3,9.54
h_1,2.12,1.41,1.57,1.75,1.49,1.48,15.82,6.48,6.26,6.5,7.05,7.86,6.39,5.92,8.88,16.53
g_1,1.29,1.3,2.52,1.5,1.51,1.4,5.57,19.0,5.71,5.71,7.86,12.65,10.52,6.96,7.67,7.41
c_0,1.7,1.79,1.71,0.94,1.2,1.46,5.58,6.22,15.4,8.15,15.41,8.42,12.16,9.28,11.08,13.74
d_0,1.75,1.56,0.91,3.3,1.44,1.25,6.17,5.32,4.43,15.99,7.4,6.59,12.27,8.49,7.23,11.65
b_0,1.62,1.68,1.57,1.8,0.85,1.4,6.76,6.36,7.12,8.76,16.55,8.63,14.48,8.66,19.48,12.54
f_0,0.82,1.19,2.02,1.94,1.77,1.54,5.8,6.18,8.11,8.56,8.7,17.53,14.48,17.73,9.42,12.92
h_0,2.13,1.82,1.71,1.91,1.12,1.22,3.37,7.71,8.07,7.89,7.54,7.54,6.2,6.8,9.0,13.44
e_0,2.1,0.79,1.81,1.45,1.56,1.79,7.33,6.12,7.73,6.49,7.94,5.15,15.81,24.85,10.02,12.47
a_0,1.78,1.2,1.92,1.58,1.6,0.67,6.88,6.69,9.17,6.61,8.66,8.66,12.88,9.55,24.23,16.03
g_0,1.19,1.41,2.62,1.83,1.38,1.53,5.11,3.96,8.83,6.62,8.99,12.03,12.89,9.49,8.8,6.63
