,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.94,0.37,0.36,0.48,0.4,0.31,0.3,0.41,0.26,0.27,0.23,0.25,0.23,0.22,0.21,0.13
f_1,0.75,0.94,0.4,0.39,0.33,0.21,0.22,0.28,0.19,0.24,0.22,0.13,0.21,0.16,0.21,0.1
d_1,0.45,0.48,0.94,0.36,0.37,0.28,0.3,0.21,0.2,0.4,0.3,0.25,0.25,0.18,0.19,0.16
c_1,0.38,0.44,0.44,0.94,0.6,0.27,0.29,0.24,0.23,0.14,0.19,0.2,0.24,0.16,0.21,0.18
b_1,0.42,0.44,0.48,0.37,0.94,0.49,0.29,0.28,0.23,0.26,0.14,0.26,0.23,0.15,0.2,0.21
a_1,0.46,0.56,0.51,0.54,0.39,0.93,0.31,0.33,0.29,0.33,0.33,0.31,0.28,0.15,0.21,0.2
h_1,0.63,0.9,0.69,0.6,0.54,0.41,0.75,0.49,0.47,0.4,0.3,0.34,0.27,0.29,0.52,0.29
d_0,0.65,0.69,0.42,1.12,0.64,0.47,0.43,0.66,0.36,0.33,0.4,0.37,0.45,0.27,0.34,0.28
g_1,0.62,0.68,1.03,0.71,0.6,0.37,0.42,0.43,0.74,0.39,0.41,0.57,0.39,0.33,0.27,0.33
c_0,0.7,0.83,0.63,0.72,0.62,0.48,0.49,0.57,0.42,0.64,0.72,0.41,0.47,0.35,0.36,0.31
b_0,0.88,0.85,0.64,0.86,0.5,0.3,0.61,0.48,0.46,0.35,0.66,0.48,0.52,0.61,0.36,0.26
f_0,0.65,0.57,0.84,0.89,0.69,0.48,0.55,0.51,0.39,0.43,0.39,0.65,0.46,0.33,0.39,0.55
h_0,0.86,1.01,0.76,0.83,0.76,0.43,0.42,0.49,0.53,0.42,0.43,0.42,0.33,0.33,0.44,0.34
a_0,0.8,0.92,0.94,0.85,0.71,0.28,0.59,0.58,0.49,0.46,0.37,0.51,0.6,0.63,0.52,0.36
g_0,0.75,0.81,1.19,0.81,0.83,0.54,0.4,0.49,0.36,0.55,0.45,0.61,0.45,0.31,0.37,0.39
e_0,0.61,1.19,1.01,0.83,0.65,0.48,0.54,0.54,0.44,0.53,0.55,0.38,0.53,0.38,0.41,0.61
