,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.7,0.98,1.1,0.96,0.82,0.42,0.42,0.44,0.36,0.36,0.43,0.28,0.31,0.3,0.39
f_1,1.05,0.65,0.88,0.97,0.91,0.77,0.36,0.36,0.44,0.32,0.36,0.36,0.23,0.29,0.31,0.29
d_1,0.99,1.02,0.64,1.01,0.91,0.91,0.41,0.47,0.33,0.39,0.34,0.34,0.26,0.32,0.21,0.32
c_1,0.88,1.02,1.17,0.63,1.09,0.91,0.48,0.25,0.45,0.41,0.35,0.35,0.29,0.32,0.28,0.28
b_1,1.09,1.17,1.19,0.69,0.61,1.13,0.52,0.35,0.49,0.54,0.51,0.39,0.33,0.35,0.33,0.39
a_1,1.23,1.39,1.32,1.07,0.73,0.57,0.52,0.51,0.54,0.46,0.52,0.46,0.42,0.57,0.36,0.37
h_1,1.65,1.7,1.59,1.49,1.43,1.42,0.53,0.61,0.75,0.54,0.58,0.56,0.56,0.5,0.5,0.52
d_0,1.29,1.62,2.08,1.91,1.9,1.41,0.8,0.54,0.82,0.6,0.6,0.63,0.52,0.6,0.55,0.61
g_1,1.81,1.78,1.7,1.82,1.65,1.47,0.65,0.66,0.5,0.62,0.62,0.65,0.42,0.56,0.52,0.53
c_0,1.8,1.91,1.19,2.35,1.63,1.77,0.82,0.93,0.69,0.54,0.78,0.71,0.57,0.59,0.53,0.68
b_0,1.68,1.72,1.61,2.15,2.05,1.69,0.84,0.7,0.8,0.45,0.52,0.65,0.52,0.61,0.54,0.56
f_0,1.77,2.11,1.91,1.84,1.69,1.54,0.79,0.67,0.59,0.6,0.65,0.52,0.49,0.56,0.39,0.71
h_0,2.09,2.06,1.99,2.09,1.85,1.6,1.0,0.75,0.95,0.67,0.71,0.74,0.66,0.6,0.62,0.66
a_0,2.29,2.27,1.96,2.11,2.48,2.03,0.95,0.75,0.97,0.68,0.53,0.84,0.69,0.52,0.59,0.72
g_0,2.07,2.12,2.28,2.24,2.28,1.86,0.75,0.8,1.08,0.73,0.71,0.8,0.54,0.71,0.62,0.81
e_0,2.46,2.49,2.22,2.24,1.95,1.86,0.97,0.79,0.85,0.7,0.74,0.49,0.64,0.67,0.49,0.51
