,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,3.97,0.36,0.36,0.41,0.48,0.33,0.71,0.64,1.49,0.93,0.83,0.86,0.84,0.19,0.89,0.77
f_1,0.73,4.06,0.37,0.35,0.37,0.29,0.88,0.61,0.68,0.84,0.19,0.89,1.06,0.73,0.62,0.84
d_1,0.36,0.48,4.19,0.31,0.36,0.33,0.74,0.65,0.25,1.54,0.82,1.05,0.84,0.93,1.13,0.95
c_1,0.3,0.42,0.36,4.2,0.66,0.44,0.61,0.69,0.93,0.11,0.89,0.62,0.89,0.82,0.86,0.82
b_1,0.39,0.44,0.44,0.4,4.63,0.69,0.59,0.77,0.8,0.73,0.62,0.18,1.04,0.79,0.65,0.6
a_1,0.4,0.38,0.39,0.36,0.37,6.83,0.85,0.76,0.76,0.85,0.9,0.82,0.74,0.71,1.02,0.37
h_1,0.69,0.92,0.72,0.7,0.55,0.74,5.24,1.44,1.26,1.29,1.27,1.33,0.39,1.06,2.03,1.26
g_1,0.49,0.51,1.13,0.81,0.61,0.47,1.47,6.14,1.17,1.18,2.06,1.53,1.61,1.52,0.7,1.32
d_0,0.7,0.69,0.15,1.44,0.69,0.57,1.28,1.42,3.66,1.13,1.87,1.1,1.35,1.38,1.34,0.96
c_0,0.7,0.73,0.93,0.3,0.58,0.6,1.49,1.73,1.33,3.78,2.05,3.07,1.51,1.69,1.63,1.84
f_0,0.64,0.23,0.85,0.92,0.77,0.71,1.32,1.36,1.37,1.37,4.46,1.42,1.28,3.77,1.47,1.38
b_0,0.8,0.69,0.66,0.82,0.27,0.72,1.27,1.56,1.47,1.19,1.96,4.62,1.82,1.44,1.58,3.11
h_0,0.82,0.97,0.72,0.8,0.51,0.57,0.49,1.9,1.26,1.18,1.49,1.35,0.81,1.32,2.22,1.35
e_0,0.21,0.78,0.73,0.99,0.73,0.69,1.76,1.73,1.63,1.6,1.28,1.45,1.73,6.71,1.42,1.57
g_0,0.51,0.72,1.11,0.71,0.57,0.82,1.47,0.67,1.11,1.38,2.29,1.05,1.21,1.5,0.87,1.24
a_0,0.6,0.82,0.81,0.83,0.4,0.43,1.78,1.63,1.32,1.45,1.47,1.73,1.79,1.8,1.82,6.05
