,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.93,0.11,0.1,0.08,0.09,0.07,0.07,0.06,0.07,0.11,0.06,0.06,0.04,0.05,,0.04
f_1,0.14,0.93,0.11,0.09,0.11,0.07,0.06,0.06,0.07,0.07,0.07,,0.05,0.05,0.03,0.04
d_1,0.1,0.12,0.93,0.07,0.09,0.07,0.08,0.06,0.1,,0.06,0.06,0.04,0.05,0.04,0.04
c_1,0.13,0.09,0.12,0.93,0.14,0.06,0.07,0.07,,0.07,0.07,0.07,0.03,0.06,0.05,0.05
b_1,0.13,0.09,0.13,0.08,0.93,0.13,0.08,0.07,0.06,0.06,,0.06,0.05,0.07,0.04,0.06
a_1,0.14,0.12,0.1,0.14,0.08,0.93,0.11,0.06,0.09,0.08,0.08,0.05,,0.08,,0.06
h_1,0.29,0.42,0.27,0.26,0.19,0.13,0.71,0.24,0.18,0.19,0.18,0.14,0.14,,0.11,0.11
g_1,0.28,0.34,0.38,0.31,0.22,0.21,0.16,0.71,0.18,0.17,0.12,0.25,0.1,0.17,0.13,
c_0,0.4,0.34,0.32,,0.28,0.19,0.27,0.26,0.58,0.19,0.33,0.21,0.13,0.19,0.15,0.19
d_0,0.3,0.29,,0.5,0.32,0.21,0.24,0.26,0.23,0.58,0.22,0.21,0.18,0.22,0.14,0.15
b_0,0.37,0.32,0.38,0.29,,0.19,0.27,0.29,0.17,0.2,0.57,0.2,0.33,0.24,0.17,0.21
f_0,0.34,,0.37,0.33,0.29,0.27,0.32,0.16,0.2,0.23,0.24,0.58,0.16,0.28,,0.17
a_0,0.47,0.44,0.51,0.4,0.24,,0.33,0.26,0.26,0.2,0.15,0.23,0.58,0.21,,0.16
h_0,0.54,0.69,0.54,0.47,0.43,0.21,,0.36,0.28,0.33,0.23,0.17,0.28,,0.14,0.32
e_0,,0.52,0.4,0.32,0.34,,0.38,0.26,0.23,0.27,0.23,,,0.31,0.59,0.19
g_0,0.55,0.56,0.61,0.42,0.4,0.27,0.42,,0.43,0.22,0.29,0.38,0.28,0.21,0.21,
