,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.27,0.34,0.27,0.23,0.15,0.18,0.29,0.14,0.15,0.18,0.19,0.17,0.13,0.07,0.14
f_1,0.46,0.94,0.25,0.3,0.25,0.17,0.15,0.18,0.16,0.16,0.17,0.09,0.14,0.13,0.09,0.15
c_1,0.27,0.35,0.93,0.29,0.42,0.15,0.18,0.16,0.15,0.07,0.12,0.16,0.16,0.12,0.13,0.14
d_1,0.3,0.29,0.2,0.94,0.27,0.19,0.19,0.1,0.18,0.32,0.18,0.18,0.18,0.15,0.13,0.13
b_1,0.3,0.28,0.27,0.29,0.93,0.38,0.21,0.2,0.17,0.19,0.09,0.16,0.2,0.12,0.14,0.16
a_1,0.37,0.37,0.43,0.3,0.22,0.93,0.23,0.22,0.16,0.18,0.26,0.17,0.2,0.05,0.16,0.18
h_1,0.49,0.8,0.61,0.55,0.41,0.34,0.72,0.25,0.39,0.3,0.3,0.22,0.21,0.26,0.25,0.36
d_0,0.53,0.6,0.96,0.3,0.47,0.44,0.49,0.62,0.28,0.29,0.35,0.31,0.32,0.2,0.25,0.2
g_1,0.62,0.57,0.54,0.77,0.42,0.36,0.28,0.34,0.72,0.35,0.35,0.41,0.26,0.26,0.29,0.2
c_0,0.78,0.67,0.41,0.52,0.39,0.46,0.39,0.43,0.3,0.61,0.57,0.28,0.32,0.27,0.22,0.31
b_0,0.73,0.57,0.76,0.62,0.29,0.26,0.45,0.37,0.3,0.31,0.62,0.36,0.34,0.42,0.31,0.3
f_0,0.6,0.49,0.59,0.64,0.58,0.44,0.51,0.42,0.36,0.45,0.37,0.61,0.35,0.33,0.5,0.29
h_0,0.57,0.99,0.67,0.61,0.45,0.37,0.3,0.36,0.47,0.39,0.4,0.37,0.27,0.29,0.28,0.37
a_0,0.76,0.63,0.71,0.77,0.55,,0.35,0.51,0.34,0.4,0.34,0.29,0.4,0.6,0.38,0.3
e_0,0.41,0.88,0.75,0.56,0.49,0.49,0.55,0.47,0.32,0.47,0.4,0.29,0.44,0.28,0.6,0.35
g_0,0.6,0.67,0.8,0.92,0.46,0.4,0.34,0.45,0.28,0.35,0.45,0.47,0.45,0.34,0.32,0.25
