,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.01,0.81,0.89,0.87,0.73,0.75,0.85,0.53,0.69,0.59,0.6,0.59,0.58,0.42
f_1,0.86,1.0,1.3,1.05,0.86,0.72,0.61,0.69,0.65,0.69,0.63,0.61,0.53,0.52,0.44,0.54
e_1,0.99,0.78,1.0,1.14,1.04,0.89,0.71,0.99,0.66,0.8,0.65,0.7,0.69,0.62,0.54,0.71
c_1,1.26,0.94,0.88,1.0,1.29,0.72,0.71,0.48,0.58,0.68,0.52,0.59,0.61,0.59,0.63,0.61
b_1,1.12,1.16,0.97,0.78,1.0,1.54,0.78,0.73,0.67,0.67,0.78,0.63,0.61,0.54,0.59,0.54
a_1,1.15,1.4,1.13,1.37,0.65,1.0,0.82,0.67,0.71,0.82,0.82,0.87,0.71,0.73,0.69,0.68
h_1,1.37,1.63,1.47,1.4,1.29,1.18,1.0,0.88,0.85,1.08,0.81,0.88,0.85,0.73,0.82,0.95
d_0,1.37,1.37,0.98,2.07,1.45,1.44,1.17,1.0,0.89,1.11,1.05,1.06,0.99,0.89,0.88,1.08
c_0,1.19,1.56,1.52,1.61,1.4,1.31,1.19,1.15,1.0,1.12,1.23,0.95,0.92,0.97,0.81,0.91
g_1,1.87,1.37,1.28,1.57,1.51,1.21,0.97,0.9,0.95,1.0,0.95,1.18,0.76,0.73,0.88,0.85
b_0,1.46,1.68,1.56,1.97,1.29,1.11,1.22,0.94,0.81,1.03,1.0,0.94,0.99,1.25,1.04,0.89
f_0,1.7,1.58,1.45,1.61,1.64,1.14,1.1,1.02,1.04,0.91,1.03,1.0,1.02,0.96,1.38,0.7
h_0,1.66,1.93,1.48,1.6,1.61,1.39,1.16,1.04,1.05,1.31,1.03,1.03,1.0,0.95,0.88,1.14
a_0,1.62,1.89,1.67,1.75,1.89,1.37,1.39,1.06,1.0,1.41,0.85,1.03,1.08,1.0,1.0,0.98
e_0,1.73,2.21,1.75,1.65,1.83,1.43,1.12,1.22,1.25,1.11,1.08,0.77,1.14,0.98,1.0,1.02
g_0,2.31,1.84,1.38,1.73,1.82,1.54,1.08,0.96,1.15,1.16,1.08,1.42,0.88,1.04,0.98,1.0
