,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.52,1.39,1.74,1.94,1.39,0.37,0.66,0.36,0.37,0.33,0.78,0.18,0.38,0.29,0.36
e_1,0.92,0.43,1.95,1.99,1.7,1.8,0.64,0.54,0.38,0.37,0.43,0.48,0.28,0.38,0.29,0.91
d_1,1.82,1.91,0.43,1.68,1.68,1.61,0.41,0.32,0.35,0.76,0.36,0.36,0.23,0.3,0.17,0.32
c_1,2.13,1.42,2.2,0.4,1.81,1.76,0.53,0.49,0.74,0.19,0.35,0.34,0.28,0.38,0.27,0.29
b_1,2.09,1.93,2.06,1.06,0.39,2.02,0.66,0.61,0.5,0.38,0.78,0.37,0.29,0.4,0.31,0.41
a_1,2.92,2.19,2.13,2.87,1.25,0.33,0.69,0.76,0.37,0.53,0.5,0.36,0.36,0.97,0.28,0.46
h_1,3.15,2.76,2.69,3.11,2.55,2.77,0.32,0.85,0.58,0.59,0.61,0.47,0.58,0.57,0.36,0.52
g_1,3.67,3.46,2.79,3.67,3.24,2.87,0.64,0.3,0.6,0.54,0.53,0.65,0.34,0.58,0.56,0.51
c_0,3.72,3.24,1.67,6.29,3.36,3.21,0.85,0.86,0.37,0.86,0.65,0.59,0.46,0.68,0.4,0.63
d_0,3.24,1.76,4.91,3.65,3.64,3.06,1.01,1.19,0.7,0.39,0.71,0.62,0.53,0.85,0.56,0.67
b_0,4.04,3.56,2.77,4.71,5.69,2.68,0.85,0.77,0.38,0.7,0.34,0.58,0.49,0.58,0.45,0.69
f_0,5.77,3.78,3.4,3.2,3.36,3.09,1.12,0.65,0.64,0.75,0.67,0.34,0.46,0.61,0.36,0.56
h_0,3.97,3.98,3.46,4.55,3.56,3.21,1.51,1.18,0.75,0.94,0.77,0.81,0.97,0.71,0.59,0.7
a_0,4.0,3.91,4.01,5.1,5.48,6.07,1.13,1.18,0.7,0.92,0.44,0.76,0.46,0.31,0.56,0.84
g_0,5.09,3.95,4.06,4.46,4.71,4.0,0.81,1.64,0.8,0.96,0.79,0.75,0.45,0.77,1.0,0.9
e_0,6.17,7.77,4.11,3.68,4.68,3.67,1.05,1.03,0.86,0.71,0.76,0.35,0.87,0.89,0.46,0.29
