,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,12.89,0.82,0.65,0.43,0.56,0.73,1.16,1.11,2.73,0.53,1.35,1.14,0.99,0.96,1.19,1.16
f_1,0.65,11.35,1.75,0.71,0.6,0.66,0.77,0.83,0.67,0.91,0.75,0.56,0.89,1.01,0.56,0.76
e_1,0.62,0.64,10.92,1.06,0.68,0.63,0.89,0.8,0.93,2.54,1.02,0.98,1.07,0.86,0.76,1.02
c_1,0.58,0.67,0.59,11.95,2.1,0.69,0.93,0.78,0.58,0.8,0.73,0.96,0.9,0.99,0.96,0.98
b_1,0.74,0.65,0.67,0.72,12.1,1.71,0.83,0.91,0.7,0.91,0.58,0.95,0.73,1.02,0.91,0.89
a_1,0.89,0.79,0.54,0.71,0.62,18.67,0.84,1.18,0.96,0.89,1.08,0.95,0.67,1.32,1.0,0.8
h_1,0.96,1.19,0.63,0.74,0.71,0.64,3.46,1.32,0.95,0.8,1.09,1.05,1.08,0.72,1.3,1.5
g_1,1.69,0.64,0.7,0.82,0.69,0.62,1.02,3.86,1.18,0.75,1.19,1.8,0.89,0.9,1.27,0.69
c_0,0.83,0.97,0.74,0.65,0.56,0.76,1.31,1.11,2.1,1.1,3.09,1.19,1.62,1.04,1.28,1.19
d_0,0.46,0.61,0.67,3.62,0.96,0.62,0.98,0.95,0.63,2.2,1.06,1.08,1.06,1.17,1.0,1.18
b_0,0.77,1.02,0.73,0.95,0.51,0.59,1.26,1.1,1.01,1.23,2.47,1.36,2.82,1.26,1.43,1.42
f_0,1.12,0.62,0.53,0.89,0.71,0.73,1.33,1.16,1.13,0.96,1.23,2.31,1.27,1.02,2.8,1.39
a_0,0.84,0.99,0.71,1.0,0.78,0.5,1.18,1.13,0.97,0.98,0.94,1.28,2.81,1.35,1.42,1.27
h_0,0.86,1.37,0.85,0.66,0.65,0.67,0.8,1.5,1.08,1.04,0.98,0.92,1.07,0.77,1.04,1.22
e_0,0.95,0.87,0.53,0.79,0.67,0.73,1.56,1.33,1.12,0.95,1.53,1.26,1.7,1.33,2.91,1.23
g_0,1.58,0.67,0.66,0.85,0.57,0.7,1.17,0.66,1.22,0.79,1.13,2.1,1.18,0.93,1.43,1.09
