,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,16.05,1.22,0.43,0.53,0.47,0.44,0.92,0.8,0.77,0.78,0.3,0.85,0.75,0.73,0.63,0.74
e_1,0.54,16.58,0.69,0.43,0.44,0.55,0.76,2.01,0.94,0.96,1.14,1.07,1.24,0.57,1.0,0.78
c_1,0.58,0.38,19.3,0.55,1.27,0.51,0.81,0.66,0.68,0.2,0.83,0.68,0.97,0.66,0.94,1.17
d_1,0.5,0.48,0.4,22.26,0.48,0.47,0.94,0.33,1.02,2.5,1.36,1.09,0.88,1.21,0.95,0.99
b_1,0.59,0.42,0.49,0.52,22.95,1.25,0.76,0.9,0.81,0.64,0.84,0.34,1.02,0.89,0.98,1.04
a_1,0.56,0.44,0.71,0.63,0.43,30.71,0.73,1.05,0.7,0.75,0.86,0.87,1.13,1.14,0.45,0.89
h_1,1.12,0.57,0.79,0.61,0.59,0.56,6.01,0.96,1.7,1.23,0.82,1.26,0.53,0.94,1.05,1.65
d_0,0.79,0.61,1.56,0.31,0.69,0.71,1.35,3.14,0.89,1.01,1.48,1.09,1.17,1.01,1.0,1.33
g_1,0.68,0.55,0.58,1.33,0.59,0.59,1.16,0.86,7.13,0.99,1.99,1.26,0.97,1.38,1.22,0.57
c_0,0.64,0.85,0.39,0.82,0.57,0.53,1.31,1.17,1.54,3.39,1.28,3.12,1.17,1.5,1.47,1.13
f_0,0.32,0.47,0.82,0.96,0.77,0.79,1.25,1.25,1.0,1.44,4.09,1.29,1.17,3.49,1.17,1.5
b_0,0.72,0.77,0.85,0.67,0.29,0.61,1.38,1.06,1.5,1.22,1.23,4.62,1.31,1.25,2.98,1.46
h_0,1.13,0.57,0.76,0.68,0.67,0.79,0.88,1.15,1.59,1.05,1.0,1.36,0.8,1.24,1.27,1.59
e_0,0.52,0.38,0.9,0.63,0.84,0.69,1.72,1.59,1.28,1.4,1.26,1.55,1.69,5.64,2.05,1.57
a_0,0.93,0.45,0.92,0.83,0.66,0.34,1.32,1.27,0.97,1.12,1.24,1.43,1.32,1.3,5.9,1.55
g_0,0.39,0.61,0.73,1.38,0.81,0.67,1.41,0.62,0.71,1.13,2.06,1.24,1.16,1.46,1.09,0.75
