,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.71,1.07,1.15,0.92,0.68,0.45,0.47,0.41,0.55,0.38,0.38,0.37,0.32,0.32,0.32
f_1,1.41,1.0,0.83,0.93,0.94,0.72,0.41,0.51,0.36,0.38,0.4,0.27,0.29,0.32,0.25,0.3
d_1,0.93,1.2,1.0,0.89,0.87,0.84,0.57,0.37,0.55,0.44,0.4,0.41,0.39,0.4,0.32,0.31
c_1,0.87,1.07,1.12,1.0,1.35,0.8,0.52,0.6,0.37,0.34,0.45,0.4,0.38,0.34,0.37,0.33
b_1,1.09,1.06,1.15,0.74,1.0,1.3,0.55,0.53,0.66,0.57,0.45,0.46,0.49,0.37,0.38,0.31
a_1,1.46,1.38,1.19,1.26,0.77,1.0,0.76,0.59,0.61,0.63,0.71,0.56,0.61,0.6,0.5,0.44
h_1,2.21,2.42,1.75,2.03,1.8,1.25,1.0,1.17,0.88,0.77,0.79,0.93,0.84,0.77,0.55,0.86
g_1,2.13,2.04,2.63,1.69,1.85,1.65,0.88,1.0,0.89,0.86,0.92,1.43,0.67,0.61,0.73,0.61
c_0,2.53,2.83,1.71,2.68,1.69,1.67,1.16,1.06,1.0,1.13,1.23,0.99,0.97,0.82,0.82,0.73
d_0,1.77,2.84,2.25,2.92,1.74,1.72,1.24,1.11,0.87,1.0,0.88,0.92,0.97,0.76,0.74,0.8
b_0,2.58,2.58,2.47,2.25,2.26,1.28,1.25,1.06,0.78,1.18,1.0,1.0,0.8,1.22,0.67,0.74
f_0,2.4,3.33,2.46,2.59,2.13,1.7,1.11,0.72,0.99,1.06,1.04,1.0,1.02,0.97,1.33,0.72
h_0,2.63,3.56,2.72,2.56,2.13,1.72,1.21,1.46,0.98,1.07,1.28,0.99,1.0,1.12,0.94,0.94
a_0,3.01,3.03,2.54,3.22,2.64,,1.29,1.67,1.2,1.48,0.76,1.07,0.88,1.0,1.02,1.01
e_0,3.04,4.47,3.26,2.72,2.4,1.99,1.76,1.32,1.33,1.35,1.43,0.82,1.16,1.03,1.0,0.87
g_0,2.79,3.29,3.36,3.1,3.13,2.21,1.12,1.65,1.34,1.19,1.43,1.39,1.02,1.01,1.18,1.0
