,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.29,0.44,0.52,0.5,0.44,0.15,0.16,0.11,0.1,0.09,0.12,0.07,0.09,0.14,0.07
f_1,0.44,0.17,0.43,0.5,0.47,0.41,0.1,0.13,0.1,0.08,0.09,0.12,0.05,0.08,0.07,0.07
d_1,0.55,0.54,0.15,0.46,0.41,0.4,0.12,0.08,0.17,0.09,0.09,0.07,0.07,0.08,0.09,0.04
c_1,0.37,0.44,0.62,0.14,0.37,0.43,0.13,0.13,0.06,0.13,0.09,0.11,0.06,0.11,0.1,0.07
b_1,0.43,0.45,0.57,0.25,0.13,0.43,0.14,0.17,0.08,0.12,0.16,0.11,0.06,0.11,0.08,0.08
a_1,0.44,0.59,0.48,0.48,0.23,0.09,0.12,0.14,0.11,0.11,0.11,0.09,0.09,0.16,0.09,0.07
h_1,0.39,0.44,0.37,0.4,0.41,0.35,0.06,0.12,0.08,0.07,0.08,0.08,0.08,0.09,0.07,0.06
g_1,0.43,0.48,0.37,0.4,0.35,0.41,0.08,0.05,0.09,0.08,0.08,0.08,0.05,0.07,0.08,0.06
d_0,0.24,0.39,0.63,0.43,0.43,0.37,0.15,0.14,0.06,0.09,0.09,0.09,0.05,0.12,0.08,0.07
c_0,0.43,0.45,0.22,0.75,0.44,0.38,0.12,0.11,0.13,0.05,0.09,0.08,0.06,0.08,0.08,0.06
b_0,0.38,0.42,0.31,0.49,0.54,0.4,0.11,0.11,0.09,0.05,0.05,0.08,0.06,0.09,0.06,0.06
f_0,0.43,0.55,0.34,0.37,0.39,0.3,0.11,0.07,0.09,0.08,0.11,0.05,0.06,0.09,0.08,0.04
h_0,0.39,0.39,0.37,0.42,0.43,0.32,0.16,0.11,0.09,0.07,0.08,0.07,0.08,0.07,0.06,0.06
a_0,0.41,0.46,0.33,0.41,0.47,0.65,0.12,0.12,0.09,0.07,0.04,0.07,0.07,0.03,0.07,0.05
e_0,0.52,0.77,0.36,0.31,0.37,0.37,0.1,0.09,0.08,0.07,0.09,0.04,0.06,0.06,0.04,0.05
g_0,0.41,0.37,0.4,0.44,0.42,0.32,0.09,0.14,0.09,0.09,0.08,0.07,0.04,0.07,0.08,0.07
