,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.12,1.08,1.72,2.8,20.22,26.03,24.74,37.95,41.95,42.09,63.47,80.64,83.23,73.42
e_1,0.88,1.0,0.85,1.32,1.72,3.06,20.78,35.46,32.05,27.56,40.72,40.0,69.65,76.46,90.53,87.24
f_1,0.89,1.16,1.0,1.1,1.45,2.72,15.03,25.15,28.72,24.51,33.12,32.93,48.5,70.29,57.54,73.58
c_1,0.91,0.77,0.92,1.0,1.86,2.36,16.74,17.23,24.03,21.97,30.66,27.46,56.37,63.92,69.71,83.16
b_1,0.6,0.59,0.69,0.54,1.0,2.33,12.56,13.43,16.86,19.84,22.07,30.28,36.88,42.21,50.8,56.98
a_1,0.34,0.32,0.37,0.43,0.43,1.0,7.87,9.46,12.12,11.0,15.05,16.96,24.72,28.63,33.78,28.86
h_1,0.05,0.05,0.07,0.06,0.08,0.12,1.0,1.32,1.93,1.38,1.89,1.98,3.37,4.17,3.96,4.77
d_0,0.04,0.03,0.04,0.06,0.07,0.11,0.77,1.0,1.05,0.86,1.37,1.37,2.43,2.61,3.18,3.38
g_1,0.04,0.03,0.03,0.04,0.06,0.08,0.54,0.97,1.0,0.96,1.52,1.38,2.09,3.1,3.32,2.8
c_0,0.03,0.04,0.04,0.05,0.05,0.09,0.75,1.17,1.03,1.0,1.34,2.06,2.45,3.06,3.18,3.27
f_0,0.03,0.02,0.03,0.03,0.05,0.07,0.5,0.7,0.65,0.73,1.0,0.97,1.71,1.96,3.01,1.7
b_0,0.02,0.02,0.03,0.04,0.03,0.06,0.5,0.77,0.69,0.51,1.0,1.0,1.69,3.13,2.3,2.08
h_0,0.02,0.01,0.02,0.02,0.03,0.04,0.3,0.42,0.48,0.42,0.58,0.57,1.0,1.19,1.2,1.46
a_0,0.01,0.01,0.02,0.02,0.02,0.03,0.25,0.39,0.32,0.35,0.49,0.34,0.85,1.0,1.12,1.04
e_0,0.01,0.01,0.02,0.01,0.02,0.03,0.25,0.31,0.3,0.32,0.33,0.47,0.81,0.91,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.3,0.35,0.32,0.59,0.5,0.68,0.94,0.98,1.0
