,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11.17,0.79,0.56,0.99,0.63,0.58,1.05,0.95,0.85,2.48,0.92,0.84,1.16,0.99,0.75,0.84
f_1,1.77,11.03,0.58,0.73,0.5,0.67,0.83,0.94,0.8,1.05,0.94,0.59,1.07,0.93,0.71,0.75
d_1,0.61,0.78,13.72,0.47,0.68,0.7,1.01,1.01,2.6,0.59,1.28,1.07,1.08,0.96,0.98,1.21
c_1,0.55,0.51,0.71,11.28,2.24,0.76,0.97,0.81,0.5,0.77,0.54,1.04,0.61,1.02,1.06,0.99
b_1,0.66,0.84,0.64,0.62,10.48,1.71,0.89,0.88,0.89,0.78,0.86,0.97,0.78,0.91,1.03,0.89
a_1,0.67,0.74,0.94,0.85,0.55,17.25,0.91,0.91,0.74,0.85,0.98,0.93,0.64,1.11,0.88,1.1
h_1,0.65,1.18,0.93,0.85,0.64,0.67,3.05,1.29,0.97,0.84,1.1,1.02,1.02,0.75,0.86,1.54
g_1,0.54,0.65,1.69,0.83,0.73,0.67,1.15,3.95,1.11,0.76,1.12,2.1,1.03,1.0,1.38,0.96
c_0,0.84,0.92,1.04,0.59,0.58,0.6,1.07,1.22,2.41,0.86,3.43,1.4,1.87,1.3,1.23,1.27
d_0,0.7,0.73,0.42,2.7,0.99,0.72,0.91,0.96,0.54,1.99,0.85,1.18,0.88,0.9,0.98,1.03
b_0,0.79,0.87,1.0,0.91,0.49,0.57,0.97,0.98,1.49,0.99,2.95,1.27,3.64,1.52,1.35,1.12
f_0,0.61,0.71,1.23,0.75,0.81,0.8,1.1,1.15,1.25,1.0,1.11,2.61,0.91,1.27,3.4,1.17
a_0,0.68,0.78,0.86,1.22,0.72,0.43,0.99,1.12,1.01,1.28,1.2,1.23,3.0,1.32,1.12,1.26
h_0,0.76,1.17,0.97,0.77,0.75,0.57,0.7,1.41,0.98,1.0,1.0,0.88,0.99,0.77,1.08,1.51
e_0,0.51,0.89,1.15,0.79,0.83,0.88,1.22,1.07,1.23,0.92,1.34,1.32,1.14,1.39,3.03,1.17
g_0,0.57,0.65,1.93,0.69,0.8,0.65,0.9,0.76,1.21,0.74,1.02,2.15,0.85,1.15,1.53,0.9
