,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.51,0.66,0.54,0.87,0.64,0.49,0.9,0.9,0.85,1.73,1.12,1.08,1.0,0.54,1.07,1.05
f_1,1.14,2.53,0.61,0.58,0.51,0.57,0.79,0.84,0.88,0.88,0.45,0.94,0.92,0.72,0.77,0.82
d_1,0.59,0.73,2.79,0.54,0.59,0.64,0.9,0.86,1.78,0.42,0.94,1.13,1.09,0.99,0.97,0.87
c_1,0.56,0.7,0.59,2.87,1.23,0.63,0.91,0.76,0.35,0.85,0.87,0.69,1.0,0.87,0.96,0.9
b_1,0.6,0.6,0.62,0.61,3.37,1.24,0.99,0.91,0.84,0.81,0.99,0.36,0.84,1.21,0.9,0.88
a_1,0.65,0.66,0.84,0.64,0.62,4.2,0.99,0.94,0.95,0.8,0.93,0.83,1.08,0.89,0.95,0.36
h_1,0.7,1.17,0.81,0.84,0.66,0.73,2.72,1.54,1.09,1.15,1.0,1.13,0.73,1.34,1.35,1.01
g_1,0.78,0.68,1.2,0.71,0.55,0.87,1.12,3.24,1.15,0.9,1.62,1.2,0.9,1.22,0.84,1.2
c_0,0.84,0.81,1.09,0.47,0.59,0.81,1.02,1.26,2.08,1.13,1.39,2.33,1.12,1.38,1.18,1.52
d_0,0.8,0.87,0.42,1.62,0.85,0.72,0.87,1.06,0.72,1.93,1.19,0.98,1.16,1.01,1.19,1.12
f_0,0.7,0.58,0.88,0.99,0.87,0.7,1.19,0.96,1.12,1.27,2.5,1.34,1.1,2.57,1.34,1.22
b_0,0.75,0.82,1.07,0.83,0.48,0.53,1.21,1.26,1.19,1.14,1.28,2.64,1.3,1.43,1.26,3.03
h_0,0.75,0.99,0.96,0.81,0.68,0.8,0.7,1.48,1.04,1.14,1.04,1.2,0.76,0.94,1.6,1.23
e_0,0.37,0.96,0.91,1.0,0.76,0.86,1.19,1.22,1.18,0.96,1.29,1.33,1.33,3.19,1.17,1.06
g_0,0.67,0.65,1.37,0.82,0.69,0.72,1.19,0.75,1.11,0.98,1.95,1.15,1.08,1.58,0.98,1.16
a_0,0.69,0.95,1.06,0.89,0.83,0.4,1.33,1.13,0.86,1.12,1.27,1.19,1.28,1.08,1.22,3.44
